F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.89,0.89,0.89,0.89,Breaking_Ties,AG_News,127600,XLMR-Base,0,100,4,893,88427,38280,1.0,0.0078073407881184,0.0872212917998155,0.0380307185928926,76.50481939315796,821.6808586120605,"[0.2620380739081747, 0.25083986562150057, 0.24636058230683092, 0.24076147816349383]","[0.39, 0.32, 0.27, 0.02]","[0.25, 0.25, 0.25, 0.25]",2023-03-25 02:43:00
0.89,0.89,0.89,0.89,Breaking_Ties,AG_News,127600,XLMR-Base,1,100,4,993,88327,38280,1.11,0.0085216296418676,0.0866643655380638,0.0383739937719187,85.4042866230011,820.9799110889435,"[0.2648539778449144, 0.2628398791540785, 0.2537764350453172, 0.21852970795568982]","[0.43, 0.34, 0.18, 0.05]","[0.25, 0.25, 0.25, 0.25]",2023-03-25 03:04:32
0.89,0.89,0.89,0.89,Breaking_Ties,AG_News,127600,XLMR-Base,2,100,4,1093,88227,38280,1.22,0.0098148046858068,0.0860484366057342,0.0384726412234341,94.007066488266,820.2971038818359,"[0.2799634034766697, 0.2616651418115279, 0.2552607502287283, 0.2031107044830741]","[0.43, 0.43, 0.07, 0.07]","[0.25, 0.25, 0.25, 0.25]",2023-03-25 03:26:11
0.9,0.9,0.9,0.9,Breaking_Ties,AG_News,127600,XLMR-Base,3,100,4,1193,88127,38280,1.34,0.0103119996796712,0.0854343417224191,0.0384068789141906,102.60472393035889,819.5492880344391,"[0.2925398155909472, 0.2757753562447611, 0.23973176865046103, 0.19195305951383068]","[0.37, 0.36, 0.18, 0.09]","[0.25, 0.25, 0.25, 0.25]",2023-03-25 03:48:00
0.9,0.9,0.9,0.9,Breaking_Ties,AG_News,127600,XLMR-Base,4,100,4,1293,88027,38280,1.45,0.0114902005145839,0.0850792073900227,0.0376755009953498,111.16822028160097,818.7590506076813,"[0.2977571539056458, 0.28306264501160094, 0.23511214230471772, 0.1840680587780356]","[0.42, 0.31, 0.23, 0.04]","[0.25, 0.25, 0.25, 0.25]",2023-03-25 04:09:55
0.9,0.9,0.9,0.9,Breaking_Ties,AG_News,127600,XLMR-Base,5,100,4,1393,87927,38280,1.56,0.0120385687921105,0.0856835123620918,0.0373332924660657,119.79407930374146,817.4733734130859,"[0.29863603732950467, 0.2928930366116296, 0.2347451543431443, 0.17372577171572146]","[0.35, 0.3, 0.18, 0.17]","[0.25, 0.25, 0.25, 0.25]",2023-03-25 04:31:59
0.9,0.9,0.9,0.9,Breaking_Ties,AG_News,127600,XLMR-Base,6,100,4,1493,87827,38280,1.67,0.0131152253623885,0.0866099579213163,0.0376415787720536,128.40863418579102,816.4814841747284,"[0.30207635632953783, 0.29336905559276627, 0.23107836570663096, 0.17347622237106497]","[0.45, 0.34, 0.17, 0.04]","[0.25, 0.25, 0.25, 0.25]",2023-03-25 04:54:10
0.9,0.9,0.9,0.9,Breaking_Ties,AG_News,127600,XLMR-Base,7,100,4,1593,87727,38280,1.78,0.0144202897400223,0.0862000210483614,0.037244995754812,136.97471618652344,815.5064523220062,"[0.3044569993722536, 0.3032015065913371, 0.22724419334588827, 0.16509730069052103]","[0.4, 0.37, 0.18, 0.05]","[0.25, 0.25, 0.25, 0.25]",2023-03-25 05:16:28
0.9,0.9,0.9,0.9,Breaking_Ties,AG_News,127600,XLMR-Base,8,100,4,1693,87627,38280,1.9,0.0149260607326907,0.085021405921232,0.0384355448674528,145.62503933906555,814.2996485233307,"[0.30891907855877143, 0.3083284111045481, 0.22445363260484347, 0.15829887773183698]","[0.52, 0.35, 0.07, 0.06]","[0.25, 0.25, 0.25, 0.25]",2023-03-25 05:38:54
0.91,0.91,0.91,0.91,Breaking_Ties,AG_News,127600,XLMR-Base,9,100,4,1793,87527,38280,2.01,0.0160091218430832,0.0860162108130499,0.0379432593404806,154.29612708091736,813.9011199474335,"[0.32013385387618515, 0.3112102621305075, 0.2158393753485778, 0.1528165086447295]","[0.36, 0.34, 0.23, 0.07]","[0.25, 0.25, 0.25, 0.25]",2023-03-25 06:01:27
