F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.52,0.66,0.66,0.43,Breaking_Ties,Claimbuster,23533,XLMR-Base,0,100,3,165,16308,7060,1.0,0.0008365889695317,0.0156366821644417,0.00704395435158,14.214850664138794,149.97186398506165,"[0.6424242424242425, 0.2606060606060606, 0.09696969696969697]","[0.73, 0.15, 0.12]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 21:12:03
0.52,0.66,0.66,0.43,Breaking_Ties,Claimbuster,23533,XLMR-Base,1,100,3,265,16208,7060,1.61,0.0018654066696476,0.0159843362873362,0.0070794035203517,22.80298662185669,149.23872685432434,"[0.6754716981132075, 0.2188679245283019, 0.10566037735849057]","[0.91, 0.05, 0.04]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 21:16:17
0.67,0.72,0.72,0.64,Breaking_Ties,Claimbuster,23533,XLMR-Base,2,100,3,365,16108,7060,2.22,0.003484689709879,0.0159217656065897,0.0070820052970086,31.28963828086853,148.27278590202332,"[0.5041095890410959, 0.40821917808219177, 0.08767123287671233]","[0.46, 0.41, 0.13]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 21:20:38
0.71,0.76,0.76,0.68,Breaking_Ties,Claimbuster,23533,XLMR-Base,3,100,3,465,16008,7060,2.82,0.0037031387372914,0.0153297668877039,0.0071296544151406,39.91540265083313,147.4188368320465,"[0.4838709677419355, 0.41935483870967744, 0.0967741935483871]","[0.46, 0.36, 0.18]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 21:25:07
0.7,0.75,0.75,0.67,Breaking_Ties,Claimbuster,23533,XLMR-Base,4,100,3,565,15908,7060,3.43,0.0049175315014338,0.0153215826160661,0.0071042066591988,48.40592288970947,146.4854474067688,"[0.46194690265486726, 0.4265486725663717, 0.11150442477876106]","[0.52, 0.24, 0.24]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 21:29:44
0.73,0.77,0.77,0.69,Breaking_Ties,Claimbuster,23533,XLMR-Base,5,100,3,665,15808,7060,4.04,0.0052611651830793,0.0155920671970184,0.0070870427121638,56.93156576156616,145.52201890945437,"[0.4406015037593985, 0.42857142857142855, 0.13082706766917293]","[0.41, 0.31, 0.28]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 21:34:29
0.73,0.77,0.77,0.69,Breaking_Ties,Claimbuster,23533,XLMR-Base,6,100,3,765,15708,7060,4.64,0.0055275146336141,0.015401566497849,0.0070149343383415,65.5093743801117,144.59763169288635,"[0.4261437908496732, 0.4235294117647059, 0.1503267973856209]","[0.41, 0.34, 0.25]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 21:39:21
0.72,0.77,0.77,0.68,Breaking_Ties,Claimbuster,23533,XLMR-Base,7,100,3,865,15608,7060,5.25,0.0072357158915464,0.0145257942429736,0.0071304639812961,74.18748140335083,143.77148294448853,"[0.42427745664739885, 0.4138728323699422, 0.16184971098265896]","[0.46, 0.34, 0.2]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 21:44:20
0.7,0.75,0.75,0.67,Breaking_Ties,Claimbuster,23533,XLMR-Base,8,100,3,965,15508,7060,5.86,0.008276205296593,0.0137118059667881,0.0071461196325177,82.82545137405396,142.88219690322876,"[0.41865284974093264, 0.4155440414507772, 0.16580310880829016]","[0.63, 0.26, 0.11]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 21:49:27
0.15,0.27,0.27,0.63,Breaking_Ties,Claimbuster,23533,XLMR-Base,9,100,3,1065,15408,7060,6.47,0.008883258712259,0.0141607197799782,0.0070663949976565,91.38309144973756,141.96579337120056,"[0.4384976525821596, 0.40093896713615024, 0.16056338028169015]","[0.89, 0.08, 0.03]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 21:54:43
