F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.52,0.66,0.66,0.43,Random_Sampling,Claimbuster,23533,XLMR-Base,0,100,3,165,16308,7060,1.0,0.0008396958914688,7.478072123106592e-08,0.0070442016920591,14.20366072654724,0.0047852993011474,"[0.6424242424242425, 0.2606060606060606, 0.09696969696969697]","[0.66, 0.24, 0.1]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 18:54:03
0.58,0.68,0.68,0.63,Random_Sampling,Claimbuster,23533,XLMR-Base,1,100,3,265,16208,7060,1.61,0.0019739103571285,9.32230395027582e-08,0.007071343004968,22.742270708084103,0.0048427581787109,"[0.6490566037735849, 0.2528301886792453, 0.09811320754716982]","[0.49, 0.43, 0.08]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 18:55:46
0.65,0.72,0.72,0.65,Random_Sampling,Claimbuster,23533,XLMR-Base,2,100,3,365,16108,7060,2.22,0.0036481799249879,1.2196786796075296e-07,0.0071313036835791,31.24247932434082,0.0072429180145263,"[0.6054794520547945, 0.3013698630136986, 0.09315068493150686]","[0.67, 0.2, 0.13]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 18:57:38
0.69,0.74,0.74,0.66,Random_Sampling,Claimbuster,23533,XLMR-Base,3,100,3,465,16008,7060,2.82,0.0037234675918418,1.5209191142503592e-07,0.0069903202998101,39.77980756759644,0.0090970993041992,"[0.6193548387096774, 0.27956989247311825, 0.1010752688172043]","[0.65, 0.18, 0.17]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 18:59:38
0.61,0.69,0.69,0.64,Random_Sampling,Claimbuster,23533,XLMR-Base,4,100,3,565,15908,7060,3.43,0.0049955639164975,7.45488434253118e-08,0.0071493302666914,48.32191395759583,0.0049943923950195,"[0.6247787610619469, 0.26017699115044246, 0.11504424778761062]","[0.64, 0.25, 0.11]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 19:01:47
0.69,0.73,0.73,0.65,Random_Sampling,Claimbuster,23533,XLMR-Base,5,100,3,665,15808,7060,4.04,0.0055967653942288,1.0031195713026677e-07,0.0070468364654129,56.836222410202026,0.0051271915435791,"[0.6270676691729323, 0.2586466165413534, 0.11428571428571428]","[0.62, 0.28, 0.1]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 19:04:05
0.73,0.77,0.77,0.69,Random_Sampling,Claimbuster,23533,XLMR-Base,6,100,3,765,15708,7060,4.64,0.0071307263111948,9.320584470124989e-08,0.0070778600419406,65.4028525352478,0.0049149990081787,"[0.6261437908496732, 0.26143790849673204, 0.11241830065359477]","[0.64, 0.26, 0.1]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 19:06:31
0.75,0.78,0.78,0.76,Random_Sampling,Claimbuster,23533,XLMR-Base,7,100,3,865,15608,7060,5.25,0.0070656629777164,8.84301502005955e-08,0.0071458077637911,74.05447006225586,0.0054817199707031,"[0.6277456647398844, 0.261271676300578, 0.11098265895953757]","[0.63, 0.26, 0.11]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 19:09:05
0.72,0.77,0.77,0.68,Random_Sampling,Claimbuster,23533,XLMR-Base,8,100,3,965,15508,7060,5.86,0.0080030454635425,9.57833008192089e-08,0.0070752797843357,82.55840945243835,0.0049688816070556,"[0.627979274611399, 0.261139896373057, 0.11088082901554404]","[0.64, 0.3, 0.06]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 19:11:48
0.73,0.76,0.76,0.7,Random_Sampling,Claimbuster,23533,XLMR-Base,9,100,3,1065,15408,7060,6.47,0.0098334737089076,8.06752623744896e-08,0.0070444681372508,91.09767866134644,0.0051662921905517,"[0.6291079812206573, 0.2647887323943662, 0.10610328638497653]","[0.66, 0.2, 0.14]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-23 19:14:40
