F1,Accuracy,Recall,Precision,Query,Data,Model,Round,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime,Dataset_size
0.52,0.66,0.66,0.43,Breaking_Ties,Claimbuster,XLMR-Base,0,165,16308,7060,1.0,0.0008267536506718,0.0162749835904464,0.0067252365110582,14.2372305393219,152.6935634613037,"[0.6424242424242425, 0.2606060606060606, 0.09696969696969697]","[0.74, 0.16, 0.1]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 20:22:58,23533
0.52,0.66,0.66,0.67,Breaking_Ties,Claimbuster,XLMR-Base,1,215,16258,7060,1.31,0.0015187684389554,0.0149233306724792,0.0066529486928178,18.487486362457275,152.73321652412417,"[0.6651162790697674, 0.22325581395348837, 0.11162790697674418]","[0.98, 0.02]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 20:27:15,23533
0.65,0.68,0.68,0.63,Breaking_Ties,Claimbuster,XLMR-Base,2,265,16208,7060,1.61,0.0019380659678918,0.0146162916416691,0.0068146287462401,22.83234739303589,152.28734493255615,"[0.539622641509434, 0.3660377358490566, 0.09433962264150944]","[0.58, 0.28, 0.14]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 20:31:36,23533
0.68,0.72,0.72,0.64,Breaking_Ties,Claimbuster,XLMR-Base,3,315,16158,7060,1.91,0.0022910446311219,0.0152745898349385,0.0067247544381014,27.105170726776123,151.69472646713257,"[0.546031746031746, 0.3523809523809524, 0.10158730158730159]","[0.5, 0.28, 0.22]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 20:36:01,23533
0.68,0.73,0.73,0.65,Breaking_Ties,Claimbuster,XLMR-Base,4,365,16108,7060,2.22,0.0029400596069498,0.0156317557431004,0.0069627521438079,31.38960838317871,151.46742725372314,"[0.5397260273972603, 0.3424657534246575, 0.1178082191780822]","[0.6, 0.3, 0.1]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 20:40:30,23533
0.69,0.73,0.73,0.65,Breaking_Ties,Claimbuster,XLMR-Base,5,415,16058,7060,2.52,0.0034821480979207,0.0156161698503061,0.0068033446793974,35.571473598480225,151.09497666358948,"[0.5108433734939759, 0.37349397590361444, 0.11566265060240964]","[0.56, 0.36, 0.08]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 20:45:02,23533
0.71,0.75,0.75,0.67,Breaking_Ties,Claimbuster,XLMR-Base,6,465,16008,7060,2.82,0.0037132183005933,0.0158366232915682,0.0069086745739034,39.99779176712036,150.52369260787964,"[0.5161290322580645, 0.3720430107526882, 0.11182795698924732]","[0.44, 0.4, 0.16]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 20:49:39,23533
0.7,0.75,0.75,0.66,Breaking_Ties,Claimbuster,XLMR-Base,7,515,15958,7060,3.13,0.0040611636646978,0.0149450907199553,0.0069694522234297,44.29777145385742,150.1369879245758,"[0.5087378640776699, 0.37475728155339805, 0.11650485436893204]","[0.5, 0.3, 0.2]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 20:54:20,23533
0.75,0.77,0.77,0.76,Breaking_Ties,Claimbuster,XLMR-Base,8,565,15908,7060,3.43,0.0049447931136588,0.0146500271188648,0.0068138734121474,48.57132840156555,149.80099177360535,"[0.4902654867256637, 0.3858407079646018, 0.12389380530973451]","[0.38, 0.34, 0.28]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 20:59:04,23533
0.72,0.77,0.77,0.69,Breaking_Ties,Claimbuster,XLMR-Base,9,615,15858,7060,3.73,0.0052582725297035,0.0143040944805344,0.0068973535261283,52.90131759643555,149.34039187431335,"[0.47317073170731705, 0.3821138211382114, 0.14471544715447154]","[0.34, 0.34, 0.32]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 21:03:52,23533
0.79,0.8,0.8,0.79,Breaking_Ties,Claimbuster,XLMR-Base,10,665,15808,7060,4.04,0.0055536967474271,0.0155969740415136,0.0068331783156569,57.07024836540222,148.91820192337036,"[0.4631578947368421, 0.37894736842105264, 0.15789473684210525]","[0.44, 0.3, 0.26]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 21:08:45,23533
0.74,0.78,0.78,0.77,Breaking_Ties,Claimbuster,XLMR-Base,11,715,15758,7060,4.34,0.0061335870315002,0.0147032440424302,0.0068107331356837,61.51074957847595,148.52881598472595,"[0.4489510489510489, 0.3832167832167832, 0.16783216783216784]","[0.42, 0.32, 0.26]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 21:13:40,23533
0.77,0.79,0.79,0.78,Breaking_Ties,Claimbuster,XLMR-Base,12,765,15708,7060,4.64,0.0065018603837573,0.0153470628723476,0.0069593513085403,65.77626371383667,148.1489748954773,"[0.4470588235294118, 0.37516339869281046, 0.17777777777777778]","[0.4, 0.32, 0.28]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 21:18:41,23533
0.79,0.8,0.8,0.79,Breaking_Ties,Claimbuster,XLMR-Base,13,815,15658,7060,4.95,0.0067974077244821,0.0151300142800226,0.0067773421261663,70.2210681438446,147.52459287643433,"[0.4441717791411043, 0.3693251533742331, 0.18650306748466258]","[0.5, 0.28, 0.22]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 21:23:45,23533
0.77,0.78,0.78,0.77,Breaking_Ties,Claimbuster,XLMR-Base,14,865,15608,7060,5.25,0.0071499432029549,0.0150615837067986,0.0068305269058326,74.54460287094116,147.06876730918884,"[0.44739884393063584, 0.36416184971098264, 0.1884393063583815]","[0.48, 0.28, 0.24]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-02-24 21:28:52,23533
