F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.58,0.7,0.7,0.58,Breaking_Ties,Cola,9569,XLMR-Base,0,50,2,67,6631,2871,1.0,0.0003511889122152,0.0066129758344326,0.0027369913832077,6.146171569824219,60.37765192985535,"[0.5970149253731343, 0.40298507462686567]","[0.62, 0.38]","[0.7021943573667712, 0.29780564263322884]",2023-03-23 10:30:28
0.58,0.7,0.7,0.49,Breaking_Ties,Cola,9569,XLMR-Base,1,50,2,117,6581,2871,1.75,0.0005813371002515,0.0066947484609507,0.0022563628234488,10.06612253189087,60.25701308250427,"[0.6068376068376068, 0.39316239316239315]","[0.66, 0.34]","[0.7021943573667712, 0.29780564263322884]",2023-03-23 10:32:25
0.58,0.7,0.7,0.49,Breaking_Ties,Cola,9569,XLMR-Base,2,50,2,167,6531,2871,2.49,0.0008298973779411,0.0062295867610585,0.0026626233969139,14.372528076171877,59.80409598350525,"[0.6227544910179641, 0.3772455089820359]","[0.66, 0.34]","[0.7021943573667712, 0.29780564263322884]",2023-03-23 10:34:24
0.58,0.7,0.7,0.49,Breaking_Ties,Cola,9569,XLMR-Base,3,50,2,217,6481,2871,3.24,0.0014472494290795,0.0063935885610787,0.0022795764091365,18.516180276870728,59.36950898170471,"[0.631336405529954, 0.3686635944700461]","[0.82, 0.18]","[0.7021943573667712, 0.29780564263322884]",2023-03-23 10:36:27
0.58,0.7,0.7,0.49,Breaking_Ties,Cola,9569,XLMR-Base,4,50,2,267,6431,2871,3.99,0.0018735624045036,0.0062563480587902,0.002649229912065,22.857282876968384,58.964757680892944,"[0.6666666666666666, 0.3333333333333333]","[0.52, 0.48]","[0.7021943573667712, 0.29780564263322884]",2023-03-23 10:38:34
0.58,0.7,0.7,0.49,Breaking_Ties,Cola,9569,XLMR-Base,5,50,2,317,6381,2871,4.73,0.0023141795524729,0.0062494719596091,0.0022774989355386,27.042609691619877,58.52845692634583,"[0.6435331230283912, 0.35646687697160884]","[0.7, 0.3]","[0.7021943573667712, 0.29780564263322884]",2023-03-23 10:40:45
0.58,0.7,0.7,0.49,Breaking_Ties,Cola,9569,XLMR-Base,6,50,2,367,6331,2871,5.48,0.0038383826214085,0.006205292898923,0.0022622443374529,31.34728717803955,58.11491823196411,"[0.6512261580381471, 0.34877384196185285]","[0.64, 0.36]","[0.7021943573667712, 0.29780564263322884]",2023-03-23 10:43:00
0.58,0.7,0.7,0.49,Breaking_Ties,Cola,9569,XLMR-Base,7,50,2,417,6281,2871,6.23,0.003553514838893,0.0058239447652206,0.0024755905045815,35.621182918548584,57.64199662208557,"[0.6498800959232613, 0.3501199040767386]","[0.62, 0.38]","[0.7021943573667712, 0.29780564263322884]",2023-03-23 10:45:19
0.58,0.7,0.7,0.49,Breaking_Ties,Cola,9569,XLMR-Base,8,50,2,467,6231,2871,6.97,0.003730996763466,0.0063301657349511,0.0023422415164091,39.81127524375916,57.13180685043335,"[0.6466809421841542, 0.3533190578158458]","[0.5, 0.5]","[0.7021943573667712, 0.29780564263322884]",2023-03-23 10:47:41
0.58,0.7,0.7,0.49,Breaking_Ties,Cola,9569,XLMR-Base,9,50,2,517,6181,2871,7.72,0.0040947397573446,0.0060617830694033,0.0024720404859061,44.131630420684814,56.70232152938843,"[0.632495164410058, 0.36750483558994196]","[0.56, 0.44]","[0.7021943573667712, 0.29780564263322884]",2023-03-23 10:50:07
0.58,0.7,0.7,0.49,Breaking_Ties,Cola,9569,XLMR-Base,10,50,2,567,6131,2871,8.47,0.0047882737540755,0.006139557555294,0.0022650861279551,48.32506227493286,56.27391624450684,"[0.6261022927689595, 0.37389770723104054]","[0.5, 0.5]","[0.7021943573667712, 0.29780564263322884]",2023-03-23 10:52:37
0.58,0.7,0.7,0.49,Breaking_Ties,Cola,9569,XLMR-Base,11,50,2,617,6081,2871,9.21,0.0053208573336744,0.005990320265678,0.0027902237229463,52.68438410758972,55.86989688873291,"[0.6158833063209076, 0.3841166936790924]","[0.54, 0.46]","[0.7021943573667712, 0.29780564263322884]",2023-03-23 10:55:11
0.58,0.7,0.7,0.49,Breaking_Ties,Cola,9569,XLMR-Base,12,50,2,667,6031,2871,9.96,0.0056075224593741,0.005879327722094,0.0026570971904404,56.871896743774414,55.398329734802246,"[0.6041979010494752, 0.39580209895052476]","[0.5, 0.5]","[0.7021943573667712, 0.29780564263322884]",2023-03-23 10:57:48
0.58,0.7,0.7,0.49,Breaking_Ties,Cola,9569,XLMR-Base,13,50,2,717,5981,2871,10.7,0.0066029474582177,0.0061279139998985,0.0027563399674314,61.10178470611572,54.93269228935242,"[0.596931659693166, 0.403068340306834]","[0.58, 0.42]","[0.7021943573667712, 0.29780564263322884]",2023-03-23 11:00:30
