F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.06,0.15,0.15,0.04,Breaking_Ties,Go_Emotions,15237,XLMR-Base,0,50,10,107,10558,4572,1.0,0.0005577058237637,0.0104556262366811,0.0043702181914803,9.256896018981934,96.9589638710022,"[0.14018691588785046, 0.1308411214953271, 0.1308411214953271, 0.11214953271028037, 0.11214953271028037, 0.09345794392523364, 0.09345794392523364, 0.08411214953271028, 0.06542056074766354, 0.037383177570093455]","[0.2, 0.18, 0.16, 0.1, 0.1, 0.08, 0.06, 0.06, 0.04, 0.02]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-15 17:56:52
0.01,0.08,0.08,0.01,Breaking_Ties,Go_Emotions,15237,XLMR-Base,1,50,10,157,10508,4572,1.47,0.0007787828229237,0.0104661771577273,0.0044167932595126,13.471157550811768,96.5202329158783,"[0.12738853503184713, 0.11464968152866242, 0.11464968152866242, 0.10828025477707007, 0.10828025477707007, 0.10191082802547771, 0.09554140127388536, 0.09554140127388536, 0.08280254777070063, 0.050955414012738856]","[0.48, 0.1, 0.1, 0.1, 0.06, 0.06, 0.04, 0.04, 0.02]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-15 17:59:44
0.03,0.13,0.13,0.02,Breaking_Ties,Go_Emotions,15237,XLMR-Base,2,50,10,207,10458,4572,1.94,0.0018294933238837,0.010847915014347,0.0034796172295164,17.786638736724854,96.08762645721436,"[0.21256038647342995, 0.1111111111111111, 0.1111111111111111, 0.10628019323671498, 0.09178743961352658, 0.08695652173913043, 0.07729468599033816, 0.07729468599033816, 0.07246376811594203, 0.05314009661835749]","[0.42, 0.16, 0.1, 0.06, 0.06, 0.06, 0.06, 0.04, 0.04]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-15 18:02:39
0.08,0.21,0.21,0.05,Breaking_Ties,Go_Emotions,15237,XLMR-Base,3,50,10,257,10408,4572,2.41,0.002070687067183,0.0103983835280142,0.0044801860319775,22.06926679611206,95.58071827888487,"[0.1828793774319066, 0.14396887159533073, 0.10894941634241245, 0.10505836575875487, 0.10116731517509728, 0.09727626459143969, 0.07003891050583658, 0.07003891050583658, 0.06614785992217899, 0.054474708171206226]","[0.18, 0.18, 0.16, 0.14, 0.1, 0.08, 0.06, 0.04, 0.04, 0.02]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-15 18:05:38
0.07,0.16,0.16,0.12,Breaking_Ties,Go_Emotions,15237,XLMR-Base,4,50,10,307,10358,4572,2.88,0.0022526239356193,0.0104474691696387,0.0043065971574231,26.244334936141968,95.1825807094574,"[0.16286644951140064, 0.1237785016286645, 0.11400651465798045, 0.10423452768729642, 0.10097719869706841, 0.08794788273615635, 0.08794788273615635, 0.08143322475570032, 0.0749185667752443, 0.06188925081433225]","[0.56, 0.26, 0.08, 0.04, 0.02, 0.02, 0.02]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-15 18:08:41
0.08,0.17,0.17,0.08,Breaking_Ties,Go_Emotions,15237,XLMR-Base,5,50,10,357,10308,4572,3.35,0.0033156602831895,0.0102972730462582,0.0043194283108658,30.570984840393063,94.73290300369264,"[0.18487394957983194, 0.1400560224089636, 0.13445378151260504, 0.09523809523809523, 0.08683473389355742, 0.08123249299719888, 0.0784313725490196, 0.07563025210084033, 0.06722689075630252, 0.056022408963585436]","[0.28, 0.16, 0.12, 0.12, 0.08, 0.08, 0.06, 0.04, 0.04, 0.02]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-15 18:11:48
0.11,0.19,0.19,0.09,Breaking_Ties,Go_Emotions,15237,XLMR-Base,6,50,10,407,10258,4572,3.82,0.003243077843849,0.0100825474835514,0.004435829678169,34.7840461730957,94.28286147117616,"[0.16461916461916462, 0.13022113022113022, 0.12285012285012285, 0.10319410319410319, 0.09336609336609336, 0.09090909090909091, 0.08108108108108109, 0.08108108108108109, 0.07371007371007371, 0.05896805896805897]","[0.24, 0.14, 0.12, 0.1, 0.1, 0.08, 0.08, 0.06, 0.06, 0.02]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-15 18:14:58
0.14,0.23,0.23,0.11,Breaking_Ties,Go_Emotions,15237,XLMR-Base,7,50,10,457,10208,4572,4.29,0.0037992962236755,0.0098255955398135,0.0044388479511651,39.13238596916199,93.82071661949158,"[0.1487964989059081, 0.12910284463894967, 0.11816192560175055, 0.11816192560175055, 0.09190371991247265, 0.08971553610503283, 0.08096280087527352, 0.08096280087527352, 0.0787746170678337, 0.06345733041575492]","[0.24, 0.18, 0.16, 0.12, 0.1, 0.1, 0.06, 0.04]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-15 18:18:13
0.16,0.28,0.28,0.18,Breaking_Ties,Go_Emotions,15237,XLMR-Base,8,50,10,507,10158,4572,4.75,0.0040136412872196,0.0094805774403392,0.0044160464917835,43.320271253585815,93.47068524360655,"[0.14003944773175542, 0.1341222879684418, 0.11242603550295859, 0.10650887573964497, 0.09664694280078895, 0.09072978303747535, 0.08678500986193294, 0.08284023668639054, 0.08086785009861933, 0.06903353057199212]","[0.32, 0.12, 0.12, 0.1, 0.1, 0.08, 0.06, 0.04, 0.04, 0.02]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-15 18:21:31
0.13,0.24,0.24,0.17,Breaking_Ties,Go_Emotions,15237,XLMR-Base,9,50,10,557,10108,4572,5.22,0.0047583421181557,0.0091359523091681,0.0044270309723407,47.5573194026947,92.96080875396729,"[0.13644524236983843, 0.1310592459605027, 0.12387791741472172, 0.1059245960502693, 0.09515260323159784, 0.0933572710951526, 0.0843806104129264, 0.08258527827648116, 0.07899461400359066, 0.06822262118491922]","[0.22, 0.18, 0.16, 0.14, 0.1, 0.1, 0.06, 0.04]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-15 18:24:53
