F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.11,0.19,0.19,0.08,Breaking_Ties,Liar,12836,XLMR-Base,0,50,6,90,8896,3850,1.0,0.0004493080380123,0.0081941808589255,0.0037713572577047,7.890826463699341,80.90565633773804,"[0.23333333333333334, 0.23333333333333334, 0.2, 0.15555555555555556, 0.1111111111111111, 0.06666666666666667]","[0.22, 0.2, 0.2, 0.16, 0.12, 0.1]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-15 15:49:56
0.11,0.2,0.2,0.08,Breaking_Ties,Liar,12836,XLMR-Base,1,50,6,140,8846,3850,1.56,0.0007209464613736,0.0088477403042479,0.0037551020070927,12.051433324813845,81.17374634742737,"[0.22857142857142856, 0.22142857142857142, 0.2, 0.15714285714285714, 0.11428571428571428, 0.07857142857142857]","[0.26, 0.26, 0.18, 0.14, 0.1, 0.06]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-15 15:52:24
0.11,0.19,0.19,0.08,Breaking_Ties,Liar,12836,XLMR-Base,2,50,6,190,8796,3850,2.11,0.0016603336139189,0.008894198191659,0.0038985139294867,16.282580137252808,80.81044793128967,"[0.23157894736842105, 0.21578947368421053, 0.18421052631578946, 0.1736842105263158, 0.12105263157894737, 0.07368421052631578]","[0.26, 0.24, 0.22, 0.16, 0.1, 0.02]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-15 15:54:56
0.06,0.19,0.19,0.04,Breaking_Ties,Liar,12836,XLMR-Base,3,50,6,240,8746,3850,2.67,0.0018409185882285,0.0087685785820363,0.0038782304523606,20.6020770072937,80.36969041824341,"[0.225, 0.21666666666666667, 0.18333333333333332, 0.16666666666666666, 0.14583333333333334, 0.0625]","[0.3, 0.26, 0.12, 0.12, 0.1, 0.1]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-15 15:57:31
0.06,0.19,0.19,0.04,Breaking_Ties,Liar,12836,XLMR-Base,4,50,6,290,8696,3850,3.23,0.0019988180495401,0.0082236886667522,0.0036170949325688,24.85658597946167,79.94445872306824,"[0.23103448275862068, 0.20344827586206896, 0.2, 0.15517241379310345, 0.1413793103448276, 0.06896551724137931]","[0.24, 0.24, 0.22, 0.2, 0.08, 0.02]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-15 16:00:10
0.06,0.19,0.19,0.04,Breaking_Ties,Liar,12836,XLMR-Base,5,50,6,340,8646,3850,3.78,0.0024683339283792,0.0084838175745682,0.0038017804515158,29.031863689422607,79.46578288078308,"[0.22941176470588234, 0.2088235294117647, 0.20588235294117646, 0.16176470588235295, 0.1323529411764706, 0.061764705882352944]","[0.3, 0.24, 0.18, 0.12, 0.12, 0.04]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-15 16:02:53
0.1,0.21,0.21,0.15,Breaking_Ties,Liar,12836,XLMR-Base,6,50,6,390,8596,3850,4.34,0.0033923065662453,0.0084000408398998,0.0038325801684428,33.36929678916931,78.99153566360474,"[0.2205128205128205, 0.2153846153846154, 0.18461538461538463, 0.1641025641025641, 0.13076923076923078, 0.08461538461538462]","[0.24, 0.2, 0.16, 0.14, 0.14, 0.12]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-15 16:05:40
0.12,0.21,0.21,0.14,Breaking_Ties,Liar,12836,XLMR-Base,7,50,6,440,8546,3850,4.9,0.0035563995965415,0.0075956582369374,0.0037467209137829,37.61834645271301,78.55395245552063,"[0.22272727272727272, 0.20681818181818182, 0.18181818181818182, 0.16818181818181818, 0.1318181818181818, 0.08863636363636364]","[0.36, 0.18, 0.18, 0.14, 0.08, 0.06]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-15 16:08:31
0.06,0.2,0.2,0.04,Breaking_Ties,Liar,12836,XLMR-Base,8,50,6,490,8496,3850,5.45,0.0039243302392557,0.0073536246198682,0.0037576187740115,41.91943526268005,78.18400311470032,"[0.22244897959183674, 0.21836734693877552, 0.16938775510204082, 0.1653061224489796, 0.13673469387755102, 0.08775510204081632]","[0.3, 0.24, 0.2, 0.14, 0.12]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-15 16:11:25
0.16,0.23,0.23,0.14,Breaking_Ties,Liar,12836,XLMR-Base,9,50,6,540,8446,3850,6.01,0.0047311342973411,0.0074273923873032,0.0038102356481875,46.13181042671204,77.73955368995667,"[0.22037037037037038, 0.22037037037037038, 0.1814814814814815, 0.16296296296296298, 0.13518518518518519, 0.07962962962962963]","[0.26, 0.22, 0.18, 0.16, 0.14, 0.04]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-15 16:14:24
