F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.17,0.33,0.33,0.11,Breaking_Ties,MedicalAbstracts,14438,XLMR-Base,0,50,5,101,10007,4330,1.0,0.0005162414538826,0.010448991926749,0.0044385756347535,8.917834043502808,94.86894011497498,"[0.37623762376237624, 0.2376237623762376, 0.15841584158415842, 0.13861386138613863, 0.0891089108910891]","[0.46, 0.24, 0.14, 0.08, 0.08]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-15 16:44:06
0.17,0.34,0.34,0.27,Breaking_Ties,MedicalAbstracts,14438,XLMR-Base,1,50,5,151,9957,4330,1.49,0.0007787944771679,0.0100961786812345,0.0042949419476626,13.17050004005432,94.4281768798828,"[0.33112582781456956, 0.31125827814569534, 0.13245033112582782, 0.11920529801324503, 0.10596026490066225]","[0.76, 0.14, 0.06, 0.02, 0.02]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-15 16:46:55
0.08,0.22,0.22,0.05,Breaking_Ties,MedicalAbstracts,14438,XLMR-Base,2,50,5,201,9907,4330,1.99,0.0017614509500554,0.0098610341497592,0.0043992789033484,17.53659152984619,93.9736123085022,"[0.4228855721393035, 0.2835820895522388, 0.1044776119402985, 0.0945273631840796, 0.0945273631840796]","[0.4, 0.22, 0.22, 0.12, 0.04]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-15 16:49:47
0.26,0.37,0.37,0.2,Breaking_Ties,MedicalAbstracts,14438,XLMR-Base,3,50,5,251,9857,4330,2.48,0.0020416352186155,0.0096871410527596,0.0042634744416591,21.78784775733948,93.58350944519044,"[0.3466135458167331, 0.30677290836653387, 0.12749003984063745, 0.11952191235059761, 0.099601593625498]","[0.4, 0.3, 0.2, 0.06, 0.04]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-15 16:52:44
0.32,0.44,0.44,0.26,Breaking_Ties,MedicalAbstracts,14438,XLMR-Base,4,50,5,301,9807,4330,2.98,0.0022610256637065,0.0093617152079912,0.0044255428675029,26.18552088737488,93.1192183494568,"[0.3388704318936877, 0.3222591362126246, 0.13953488372093023, 0.10631229235880399, 0.09302325581395349]","[0.38, 0.32, 0.16, 0.08, 0.06]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-15 16:55:44
0.29,0.41,0.41,0.27,Breaking_Ties,MedicalAbstracts,14438,XLMR-Base,5,50,5,351,9757,4330,3.47,0.00336343646759,0.0096245420604045,0.0043356633373311,30.48312783241272,92.61608052253725,"[0.33618233618233617, 0.33048433048433046, 0.1282051282051282, 0.11396011396011396, 0.09116809116809117]","[0.42, 0.3, 0.18, 0.08, 0.02]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-15 16:58:49
0.28,0.4,0.4,0.22,Breaking_Ties,MedicalAbstracts,14438,XLMR-Base,6,50,5,401,9707,4330,3.97,0.0035139807333506,0.0094558051278349,0.0044146634867143,34.90615677833557,92.13825726509094,"[0.34663341645885287, 0.3266832917705736, 0.12219451371571072, 0.11471321695760599, 0.08977556109725686]","[0.44, 0.3, 0.18, 0.04, 0.04]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-15 17:01:57
0.31,0.43,0.43,0.25,Breaking_Ties,MedicalAbstracts,14438,XLMR-Base,7,50,5,451,9657,4330,4.46,0.0038637379117271,0.009324616483673,0.0043994216076542,39.26485443115234,91.66856241226196,"[0.3392461197339246, 0.31263858093126384, 0.1352549889135255, 0.1130820399113082, 0.09977827050997783]","[0.46, 0.22, 0.16, 0.08, 0.08]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-15 17:05:09
0.32,0.44,0.44,0.25,Breaking_Ties,MedicalAbstracts,14438,XLMR-Base,8,50,5,501,9607,4330,4.96,0.0041009748754561,0.0090455057509518,0.0043004500377241,43.575258016586304,91.19894170761108,"[0.35129740518962077, 0.3033932135728543, 0.12974051896207583, 0.10978043912175649, 0.10578842315369262]","[0.48, 0.24, 0.12, 0.1, 0.06]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-15 17:08:25
0.32,0.44,0.44,0.28,Breaking_Ties,MedicalAbstracts,14438,XLMR-Base,9,50,5,551,9557,4330,5.45,0.0051002669880262,0.0099271634408389,0.0043777202225541,48.00841283798218,90.77310395240784,"[0.3629764065335753, 0.29764065335753176, 0.12341197822141561, 0.1088929219600726, 0.10707803992740472]","[0.68, 0.18, 0.12, 0.02]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-15 17:11:45
