F1,Accuracy,Recall,Precision,Query,Data,Model,Round,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime,Dataset_size
0.03,0.12,0.12,0.03,Breaking_Ties,NewsTopic,XLMR-Base,0,72,7120,3081,1.0,0.0003744664169674,0.0073449907410487,0.0031295134874085,6.416525363922119,68.30865812301636,"[0.18055555555555555, 0.16666666666666666, 0.1388888888888889, 0.125, 0.125, 0.125, 0.08333333333333333, 0.041666666666666664, 0.013888888888888888]","[0.3, 0.24, 0.18, 0.1, 0.08, 0.08, 0.02]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-02-24 16:45:09,10273
0.04,0.14,0.14,0.28,Breaking_Ties,NewsTopic,XLMR-Base,1,122,7070,3081,1.7,0.0006315154121974,0.0066064325470302,0.0031243859993051,10.676851034164429,67.91210579872131,"[0.19672131147540983, 0.18032786885245902, 0.1721311475409836, 0.11475409836065574, 0.10655737704918032, 0.08196721311475409, 0.08196721311475409, 0.05737704918032787, 0.00819672131147541]","[0.42, 0.42, 0.14, 0.02]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-02-24 16:47:21,10273
0.21,0.32,0.32,0.22,Breaking_Ties,NewsTopic,XLMR-Base,2,172,7020,3081,2.39,0.0016218587701243,0.0071661507069414,0.0031089675110035,15.182977437973022,67.63134860992432,"[0.25, 0.20348837209302326, 0.13953488372093023, 0.12209302325581395, 0.11627906976744186, 0.06395348837209303, 0.05813953488372093, 0.040697674418604654, 0.005813953488372093]","[0.28, 0.2, 0.16, 0.1, 0.08, 0.08, 0.06, 0.04]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-02-24 16:49:44,10273
0.33,0.44,0.44,0.46,Breaking_Ties,NewsTopic,XLMR-Base,3,222,6970,3081,3.09,0.0018863983157415,0.0070715273477945,0.0027294892232366,19.55341482162476,67.29859972000122,"[0.19369369369369369, 0.16666666666666666, 0.15315315315315314, 0.13963963963963963, 0.12162162162162163, 0.08558558558558559, 0.06306306306306306, 0.04954954954954955, 0.02702702702702703]","[0.28, 0.26, 0.14, 0.08, 0.08, 0.06, 0.06, 0.04]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-02-24 16:52:01,10273
0.36,0.48,0.48,0.39,Breaking_Ties,NewsTopic,XLMR-Base,4,272,6920,3081,3.78,0.0021586318170422,0.0069844823546937,0.0030647998722713,24.006911039352417,66.85913825035095,"[0.17279411764705882, 0.16176470588235295, 0.14705882352941177, 0.125, 0.11397058823529412, 0.10294117647058823, 0.09558823529411764, 0.051470588235294115, 0.029411764705882353]","[0.22, 0.18, 0.16, 0.14, 0.14, 0.12, 0.04]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-02-24 16:54:22,10273
0.52,0.58,0.58,0.58,Breaking_Ties,NewsTopic,XLMR-Base,5,322,6870,3081,4.48,0.0024006999446317,0.0067462730906295,0.0030839892838523,28.48092126846313,66.40954422950745,"[0.16770186335403728, 0.15838509316770186, 0.12422360248447205, 0.11490683229813664, 0.11490683229813664, 0.10559006211180125, 0.08695652173913043, 0.07763975155279502, 0.049689440993788817]","[0.32, 0.2, 0.14, 0.12, 0.1, 0.04, 0.04, 0.04]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-02-24 16:56:48,10273
0.54,0.59,0.59,0.59,Breaking_Ties,NewsTopic,XLMR-Base,6,372,6820,3081,5.17,0.0031837291936373,0.006924245093772,0.0025698008204795,32.7728533744812,65.94552063941956,"[0.15053763440860216, 0.1424731182795699, 0.1424731182795699, 0.12634408602150538, 0.12634408602150538, 0.0913978494623656, 0.08870967741935484, 0.07258064516129033, 0.05913978494623656]","[0.32, 0.18, 0.12, 0.1, 0.08, 0.08, 0.06, 0.06]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-02-24 16:59:17,10273
0.67,0.7,0.7,0.66,Breaking_Ties,NewsTopic,XLMR-Base,7,422,6770,3081,5.87,0.0037163780144249,0.0069499797164624,0.0031015304547046,37.28054904937744,65.65876150131226,"[0.14928909952606634, 0.14454976303317535, 0.13270142180094788, 0.13270142180094788, 0.12085308056872038, 0.0924170616113744, 0.08056872037914692, 0.07345971563981042, 0.07345971563981042]","[0.54, 0.1, 0.1, 0.08, 0.06, 0.06, 0.04, 0.02]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-02-24 17:01:50,10273
0.7,0.71,0.71,0.75,Breaking_Ties,NewsTopic,XLMR-Base,8,472,6720,3081,6.56,0.0039504711521954,0.0070612913309149,0.0031154675533547,41.65823745727539,65.24415922164917,"[0.13983050847457626, 0.13771186440677965, 0.125, 0.1228813559322034, 0.12076271186440678, 0.11864406779661017, 0.09322033898305085, 0.07203389830508475, 0.06991525423728813]","[0.34, 0.3, 0.12, 0.06, 0.06, 0.04, 0.04, 0.02, 0.02]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-02-24 17:04:27,10273
0.73,0.74,0.74,0.77,Breaking_Ties,NewsTopic,XLMR-Base,9,522,6670,3081,7.26,0.0045071487450809,0.006823702468629,0.0027396148942856,46.11170125007629,64.79433822631836,"[0.1532567049808429, 0.1417624521072797, 0.13793103448275862, 0.11685823754789272, 0.11494252873563218, 0.11302681992337164, 0.09003831417624521, 0.06704980842911877, 0.06513409961685823]","[0.32, 0.24, 0.14, 0.1, 0.08, 0.06, 0.04, 0.02]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-02-24 17:07:09,10273
0.76,0.77,0.77,0.78,Breaking_Ties,NewsTopic,XLMR-Base,10,572,6620,3081,7.95,0.0047361333054378,0.0068313953411453,0.0029169244085561,50.490805864334106,64.24778294563293,"[0.15384615384615385, 0.1486013986013986, 0.1346153846153846, 0.11888111888111888, 0.10664335664335664, 0.1048951048951049, 0.10314685314685315, 0.06643356643356643, 0.06293706293706294]","[0.32, 0.18, 0.16, 0.14, 0.1, 0.06, 0.02, 0.02]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-02-24 17:09:54,10273
0.75,0.76,0.76,0.78,Breaking_Ties,NewsTopic,XLMR-Base,11,622,6570,3081,8.65,0.0051082556852073,0.0067907595286336,0.0030717329566855,54.95505881309509,64.02605772018433,"[0.16720257234726688, 0.1495176848874598, 0.13183279742765272, 0.11414790996784566, 0.10932475884244373, 0.10932475884244373, 0.09807073954983923, 0.06270096463022508, 0.05787781350482315]","[0.3, 0.16, 0.12, 0.12, 0.1, 0.08, 0.08, 0.04]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-02-24 17:12:43,10273
0.81,0.81,0.81,0.81,Breaking_Ties,NewsTopic,XLMR-Base,12,672,6520,3081,9.34,0.0047457313560983,0.0067604931893923,0.0026328746862432,59.29854369163513,63.43387079238892,"[0.1636904761904762, 0.14434523809523808, 0.12797619047619047, 0.12797619047619047, 0.11011904761904762, 0.10863095238095238, 0.09375, 0.06994047619047619, 0.05357142857142857]","[0.3, 0.16, 0.14, 0.12, 0.08, 0.08, 0.08, 0.02, 0.02]","[0.16325868224602402, 0.16325868224602402, 0.14703018500486856, 0.13729308666017526, 0.11684518013631938, 0.09899383317104836, 0.06491398896462187, 0.05582603050957481, 0.05258033106134372]",2023-02-24 17:15:37,10273
