F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.67,0.68,0.68,0.68,Breaking_Ties,Yahoo,110000,XLMR-Base,0,50,10,770,76230,33000,1.0,0.0066847111726898,0.0770513140622108,0.0335190385303753,66.54849457740784,716.1657207012177,"[0.12077922077922078, 0.11428571428571428, 0.10909090909090909, 0.1038961038961039, 0.1, 0.09610389610389611, 0.09610389610389611, 0.08831168831168831, 0.08701298701298701, 0.08441558441558442]","[0.24, 0.2, 0.14, 0.12, 0.12, 0.06, 0.06, 0.04, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 01:09:15
0.68,0.68,0.68,0.69,Breaking_Ties,Yahoo,110000,XLMR-Base,1,50,10,820,76180,33000,1.06,0.0070250220070092,0.0755069313275388,0.0326283020014854,70.96609497070312,715.786078453064,"[0.12804878048780488, 0.11097560975609756, 0.1073170731707317, 0.10609756097560975, 0.09878048780487805, 0.0975609756097561, 0.09268292682926829, 0.08658536585365853, 0.08658536585365853, 0.08536585365853659]","[0.22, 0.18, 0.12, 0.1, 0.08, 0.08, 0.06, 0.06, 0.06, 0.04]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 01:28:05
0.69,0.69,0.69,0.69,Breaking_Ties,Yahoo,110000,XLMR-Base,2,50,10,870,76130,33000,1.13,0.0081250093694734,0.076424105704234,0.0335291177221406,75.41287779808044,714.6375832557678,"[0.12413793103448276, 0.11724137931034483, 0.10574712643678161, 0.10459770114942529, 0.10229885057471265, 0.09655172413793103, 0.0896551724137931, 0.08850574712643679, 0.08620689655172414, 0.08505747126436781]","[0.22, 0.16, 0.16, 0.12, 0.1, 0.06, 0.06, 0.06, 0.04, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 01:46:59
0.68,0.69,0.69,0.68,Breaking_Ties,Yahoo,110000,XLMR-Base,3,50,10,920,76080,33000,1.19,0.0086217373673456,0.0751305196668127,0.0331053880246238,79.69810652732849,714.8777253627777,"[0.12282608695652174, 0.12282608695652174, 0.10543478260869565, 0.10543478260869565, 0.10326086956521739, 0.09239130434782608, 0.09239130434782608, 0.08695652173913043, 0.08478260869565217, 0.08369565217391305]","[0.28, 0.14, 0.14, 0.12, 0.1, 0.06, 0.06, 0.04, 0.04, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 02:05:57
0.69,0.7,0.7,0.7,Breaking_Ties,Yahoo,110000,XLMR-Base,4,50,10,970,76030,33000,1.26,0.0085243984144348,0.0768629259295943,0.0329679000523696,84.07064604759216,714.2995004653931,"[0.1309278350515464, 0.12268041237113401, 0.10721649484536082, 0.10309278350515463, 0.10103092783505155, 0.09484536082474226, 0.09278350515463918, 0.08453608247422681, 0.08144329896907217, 0.08144329896907217]","[0.24, 0.18, 0.12, 0.12, 0.08, 0.06, 0.06, 0.06, 0.04, 0.04]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 02:24:59
0.71,0.71,0.71,0.71,Breaking_Ties,Yahoo,110000,XLMR-Base,5,50,10,1020,75980,33000,1.32,0.0088521564892651,0.0766224194887804,0.0318155867337301,88.36401176452637,713.2164926528931,"[0.1303921568627451, 0.1284313725490196, 0.10784313725490197, 0.10098039215686275, 0.09803921568627451, 0.09705882352941177, 0.09313725490196079, 0.08235294117647059, 0.08137254901960785, 0.0803921568627451]","[0.22, 0.2, 0.18, 0.1, 0.06, 0.06, 0.06, 0.06, 0.04, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 02:44:04
0.71,0.71,0.71,0.71,Breaking_Ties,Yahoo,110000,XLMR-Base,6,50,10,1070,75930,33000,1.39,0.0094970987496193,0.076040911371094,0.0318159671214962,92.69931077957152,712.6014966964722,"[0.1336448598130841, 0.13271028037383178, 0.11121495327102804, 0.09906542056074766, 0.09626168224299066, 0.09532710280373832, 0.09345794392523364, 0.0794392523364486, 0.0794392523364486, 0.0794392523364486]","[0.24, 0.16, 0.16, 0.12, 0.1, 0.06, 0.04, 0.04, 0.04, 0.04]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 03:03:13
0.68,0.69,0.69,0.69,Breaking_Ties,Yahoo,110000,XLMR-Base,7,50,10,1120,75880,33000,1.45,0.0099672128124159,0.0763706535592082,0.0313390929097057,96.8900339603424,711.0767574310303,"[0.13482142857142856, 0.13214285714285715, 0.10892857142857143, 0.1, 0.09910714285714285, 0.09821428571428571, 0.09375, 0.07767857142857143, 0.07767857142857143, 0.07767857142857143]","[0.2, 0.14, 0.14, 0.14, 0.08, 0.08, 0.08, 0.06, 0.06, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 03:22:25
0.71,0.71,0.71,0.71,Breaking_Ties,Yahoo,110000,XLMR-Base,8,50,10,1170,75830,33000,1.52,0.0104145638214476,0.0769420753586029,0.0301544098179469,101.2373194694519,710.9134230613708,"[0.13760683760683762, 0.13247863247863248, 0.10683760683760683, 0.1, 0.09914529914529914, 0.09829059829059829, 0.0905982905982906, 0.08034188034188035, 0.07777777777777778, 0.07692307692307693]","[0.22, 0.22, 0.12, 0.12, 0.08, 0.06, 0.06, 0.06, 0.04, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 03:41:40
0.71,0.71,0.71,0.71,Breaking_Ties,Yahoo,110000,XLMR-Base,9,50,10,1220,75780,33000,1.58,0.0109117322219391,0.0763340171661854,0.0310326329254445,105.67450785636902,711.0869812965393,"[0.14098360655737704, 0.1360655737704918, 0.10737704918032787, 0.09918032786885246, 0.09754098360655737, 0.09754098360655737, 0.08770491803278689, 0.07950819672131147, 0.0778688524590164, 0.07622950819672131]","[0.26, 0.14, 0.12, 0.1, 0.08, 0.08, 0.06, 0.06, 0.06, 0.04]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 04:00:59
0.71,0.71,0.71,0.71,Breaking_Ties,Yahoo,110000,XLMR-Base,10,50,10,1270,75730,33000,1.65,0.0112249375273382,0.0753944216806855,0.0325124673086351,109.9316701889038,710.0313198566437,"[0.14566929133858267, 0.13622047244094487, 0.10708661417322834, 0.0984251968503937, 0.0984251968503937, 0.09606299212598425, 0.08661417322834646, 0.07874015748031496, 0.07637795275590552, 0.07637795275590552]","[0.16, 0.16, 0.12, 0.1, 0.1, 0.1, 0.1, 0.1, 0.06]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 04:20:22
0.72,0.73,0.73,0.72,Breaking_Ties,Yahoo,110000,XLMR-Base,11,50,10,1320,75680,33000,1.71,0.0118533848947805,0.0760144652109535,0.031290983684009,114.32484221458436,710.4337015151978,"[0.14393939393939395, 0.13712121212121212, 0.10909090909090909, 0.09848484848484848, 0.09696969696969697, 0.09621212121212121, 0.08787878787878788, 0.07954545454545454, 0.07727272727272727, 0.07348484848484849]","[0.16, 0.16, 0.12, 0.12, 0.1, 0.1, 0.08, 0.06, 0.06, 0.04]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 04:39:49
0.02,0.1,0.1,0.02,Breaking_Ties,Yahoo,110000,XLMR-Base,12,50,10,1370,75630,33000,1.78,0.0123968074962053,0.075606699205466,0.0335136195138971,118.44342708587646,707.9060328006744,"[0.1416058394160584, 0.1364963503649635, 0.11094890510948906, 0.09927007299270073, 0.09854014598540146, 0.09708029197080292, 0.08686131386861314, 0.0781021897810219, 0.0781021897810219, 0.072992700729927]","[0.2, 0.16, 0.12, 0.12, 0.1, 0.08, 0.08, 0.08, 0.04, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 04:59:21
0.71,0.71,0.71,0.71,Breaking_Ties,Yahoo,110000,XLMR-Base,13,50,10,1420,75580,33000,1.84,0.0130878517306422,0.0770908569754504,0.0324641022463211,122.82201075553894,708.5607101917267,"[0.13943661971830987, 0.13450704225352111, 0.10985915492957747, 0.10070422535211268, 0.09929577464788733, 0.09788732394366197, 0.08450704225352113, 0.0823943661971831, 0.0795774647887324, 0.07183098591549296]","[0.2, 0.2, 0.18, 0.1, 0.08, 0.08, 0.06, 0.04, 0.04, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 05:18:53
0.71,0.72,0.72,0.71,Breaking_Ties,Yahoo,110000,XLMR-Base,14,50,10,1470,75530,33000,1.91,0.0128425926599545,0.0773028481372245,0.0312639023939572,127.20113682746889,708.1949615478516,"[0.14081632653061224, 0.13673469387755102, 0.11292517006802721, 0.1, 0.09795918367346938, 0.09727891156462586, 0.08231292517006802, 0.08095238095238096, 0.08027210884353742, 0.0707482993197279]","[0.16, 0.16, 0.14, 0.14, 0.12, 0.1, 0.08, 0.06, 0.04]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 05:38:32
0.72,0.72,0.72,0.72,Breaking_Ties,Yahoo,110000,XLMR-Base,15,50,10,1520,75480,33000,1.97,0.0134863420173015,0.0767698649907776,0.03230458492194,131.5731234550476,707.4897336959839,"[0.1394736842105263, 0.1368421052631579, 0.11447368421052631, 0.1006578947368421, 0.1, 0.09671052631578947, 0.08223684210526316, 0.08026315789473684, 0.07960526315789473, 0.06973684210526315]","[0.26, 0.18, 0.14, 0.08, 0.08, 0.08, 0.06, 0.06, 0.04, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 05:58:14
0.72,0.72,0.72,0.72,Breaking_Ties,Yahoo,110000,XLMR-Base,16,50,10,1570,75430,33000,2.04,0.0148474905025605,0.0764110599249315,0.0322242606539195,135.94356536865234,707.8070418834686,"[0.14076433121019108, 0.13694267515923567, 0.11910828025477707, 0.1, 0.09872611464968153, 0.09617834394904459, 0.08025477707006369, 0.08025477707006369, 0.07834394904458598, 0.06942675159235669]","[0.22, 0.16, 0.14, 0.14, 0.1, 0.06, 0.06, 0.06, 0.04, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 06:18:00
0.72,0.73,0.73,0.72,Breaking_Ties,Yahoo,110000,XLMR-Base,17,50,10,1620,75380,33000,2.1,0.014245916213939,0.075292006919375,0.0318779120774969,140.24148750305176,707.41761302948,"[0.14135802469135803, 0.13703703703703704, 0.12222222222222222, 0.10123456790123457, 0.09753086419753086, 0.09506172839506173, 0.0808641975308642, 0.07901234567901234, 0.07777777777777778, 0.06790123456790123]","[0.18, 0.18, 0.12, 0.1, 0.1, 0.1, 0.08, 0.06, 0.04, 0.04]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 06:37:51
0.73,0.73,0.73,0.73,Breaking_Ties,Yahoo,110000,XLMR-Base,18,50,10,1670,75330,33000,2.17,0.0147527152400574,0.0747958773383338,0.0334581629537073,144.65263628959656,707.3959896564484,"[0.14251497005988023, 0.13592814371257486, 0.12395209580838323, 0.10119760479041916, 0.09760479041916167, 0.09461077844311377, 0.08023952095808383, 0.07784431137724551, 0.07664670658682635, 0.06946107784431138]","[0.18, 0.16, 0.16, 0.12, 0.12, 0.1, 0.08, 0.06, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 06:57:45
0.73,0.73,0.73,0.73,Breaking_Ties,Yahoo,110000,XLMR-Base,19,50,10,1720,75280,33000,2.23,0.0151047092986664,0.0757651221710204,0.0333164348584896,148.90776920318604,706.6599028110504,"[0.14186046511627906, 0.13488372093023257, 0.125, 0.10174418604651163, 0.1, 0.0941860465116279, 0.08255813953488372, 0.07732558139534884, 0.07441860465116279, 0.06802325581395349]","[0.24, 0.16, 0.12, 0.12, 0.08, 0.08, 0.08, 0.06, 0.04, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 07:17:44
0.72,0.72,0.72,0.72,Breaking_Ties,Yahoo,110000,XLMR-Base,20,50,10,1770,75230,33000,2.3,0.0164890674014419,0.0748457658978343,0.0334929744746232,153.2453534603119,706.1240880489349,"[0.14463276836158193, 0.13559322033898305, 0.1248587570621469, 0.10112994350282486, 0.09943502824858758, 0.09491525423728814, 0.08135593220338982, 0.07740112994350283, 0.07401129943502825, 0.06666666666666667]","[0.18, 0.14, 0.12, 0.1, 0.1, 0.1, 0.1, 0.08, 0.06, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 07:37:47
0.72,0.72,0.72,0.72,Breaking_Ties,Yahoo,110000,XLMR-Base,21,50,10,1820,75180,33000,2.36,0.0164997807768438,0.0746747906096701,0.0305311510603267,157.50082159042358,705.573956489563,"[0.14395604395604394, 0.1346153846153846, 0.12637362637362637, 0.1010989010989011, 0.10054945054945055, 0.09505494505494505, 0.08131868131868132, 0.07802197802197802, 0.07362637362637363, 0.06538461538461539]","[0.2, 0.16, 0.14, 0.12, 0.1, 0.1, 0.08, 0.06, 0.02, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 07:57:54
0.71,0.72,0.72,0.71,Breaking_Ties,Yahoo,110000,XLMR-Base,22,50,10,1870,75130,33000,2.43,0.016094438855548,0.0750886962253936,0.0331103019867789,161.89066529273987,704.9974901676178,"[0.1443850267379679, 0.13422459893048128, 0.12834224598930483, 0.10053475935828877, 0.09946524064171124, 0.09518716577540107, 0.08288770053475936, 0.07647058823529412, 0.07433155080213903, 0.06417112299465241]","[0.2, 0.18, 0.16, 0.1, 0.1, 0.08, 0.06, 0.06, 0.06]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 08:18:04
0.71,0.71,0.71,0.71,Breaking_Ties,Yahoo,110000,XLMR-Base,23,50,10,1920,75080,33000,2.49,0.0174178923616505,0.0740032353562833,0.0334818990214436,166.0716335773468,705.2599782943726,"[0.1453125, 0.1328125, 0.1265625, 0.103125, 0.10104166666666667, 0.0953125, 0.08229166666666667, 0.07604166666666666, 0.075, 0.0625]","[0.22, 0.18, 0.14, 0.14, 0.1, 0.08, 0.06, 0.04, 0.04]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 08:38:18
0.72,0.72,0.72,0.72,Breaking_Ties,Yahoo,110000,XLMR-Base,24,50,10,1970,75030,33000,2.56,0.0175223586590888,0.0743856012480483,0.0332188272415676,170.4981653690338,704.1836230754852,"[0.14720812182741116, 0.13401015228426397, 0.12690355329949238, 0.10406091370558376, 0.10050761421319797, 0.09390862944162437, 0.08121827411167512, 0.07563451776649746, 0.07411167512690356, 0.062436548223350256]","[0.18, 0.18, 0.16, 0.14, 0.1, 0.08, 0.06, 0.04, 0.04, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 08:58:36
0.72,0.73,0.73,0.72,Breaking_Ties,Yahoo,110000,XLMR-Base,25,50,10,2020,74980,33000,2.62,0.0172184166838875,0.0747869973143113,0.0305234249480863,174.9695258140564,703.6379890441895,"[0.148019801980198, 0.13465346534653466, 0.12821782178217822, 0.10495049504950495, 0.09950495049504951, 0.09356435643564356, 0.0797029702970297, 0.07623762376237624, 0.07326732673267326, 0.06188118811881188]","[0.2, 0.16, 0.16, 0.14, 0.12, 0.1, 0.06, 0.02, 0.02, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 09:18:58
0.73,0.73,0.73,0.73,Breaking_Ties,Yahoo,110000,XLMR-Base,26,50,10,2070,74930,33000,2.69,0.0181968628406059,0.0747707471825233,0.0329913341312268,179.22368574142456,703.392028093338,"[0.14830917874396135, 0.13623188405797101, 0.1289855072463768, 0.10483091787439613, 0.1, 0.0927536231884058, 0.08115942028985507, 0.0748792270531401, 0.07198067632850241, 0.06086956521739131]","[0.18, 0.16, 0.16, 0.12, 0.08, 0.08, 0.08, 0.06, 0.04, 0.04]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 09:39:24
0.72,0.73,0.73,0.72,Breaking_Ties,Yahoo,110000,XLMR-Base,27,50,10,2120,74880,33000,2.75,0.0190169186239404,0.0750364623784912,0.033214947145881,183.59927225112915,702.8140506744385,"[0.14669811320754716, 0.13584905660377358, 0.12971698113207547, 0.10613207547169812, 0.1018867924528302, 0.09245283018867924, 0.08066037735849056, 0.0740566037735849, 0.07122641509433962, 0.06132075471698113]","[0.24, 0.2, 0.18, 0.08, 0.08, 0.06, 0.06, 0.06, 0.02, 0.02]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 09:59:54
0.72,0.73,0.73,0.73,Breaking_Ties,Yahoo,110000,XLMR-Base,28,50,10,2170,74830,33000,2.82,0.0197711796960161,0.0740484939410106,0.032079798268971,187.86672115325928,702.3393752574921,"[0.1488479262672811, 0.13686635944700462, 0.1313364055299539, 0.1055299539170507, 0.10092165898617511, 0.09170506912442396, 0.0792626728110599, 0.07419354838709677, 0.07004608294930875, 0.06129032258064516]","[0.2, 0.2, 0.16, 0.16, 0.08, 0.08, 0.06, 0.06]","[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",2023-03-18 10:20:28
