F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.79,0.79,0.79,0.81,Breaking_Ties,imdb,50000,XLMR-Base,0,50,2,350,34650,15000,1.0,0.0032070251818641,0.0360953053864784,0.0149772906037588,30.44076657295227,328.988822221756,"[0.5085714285714286, 0.49142857142857144]","[0.72, 0.28]","[0.5, 0.5]",2023-03-15 19:14:36
0.33,0.5,0.5,0.25,Breaking_Ties,imdb,50000,XLMR-Base,1,50,2,400,34600,15000,1.14,0.003474589254352,0.0345339440351879,0.0150852909635997,34.97130870819092,328.7100865840912,"[0.535, 0.465]","[0.96, 0.04]","[0.5, 0.5]",2023-03-15 19:23:29
0.82,0.82,0.82,0.85,Breaking_Ties,imdb,50000,XLMR-Base,2,50,2,450,34550,15000,1.29,0.0039745809315927,0.0357086024436301,0.0147863224747067,39.333027839660645,328.1769423484802,"[0.52, 0.48]","[0.72, 0.28]","[0.5, 0.5]",2023-03-15 19:32:27
0.88,0.88,0.88,0.88,Breaking_Ties,imdb,50000,XLMR-Base,3,50,2,500,34500,15000,1.43,0.0040286349796052,0.0356625436102218,0.0152967673696612,43.60205006599426,327.7954773902893,"[0.504, 0.496]","[0.6, 0.4]","[0.5, 0.5]",2023-03-15 19:41:29
0.83,0.83,0.83,0.85,Breaking_Ties,imdb,50000,XLMR-Base,4,50,2,550,34450,15000,1.57,0.0044890155246897,0.0350360166252874,0.014957809156828,48.05515670776367,327.48203706741333,"[0.5127272727272727, 0.48727272727272725]","[0.78, 0.22]","[0.5, 0.5]",2023-03-15 19:50:35
0.88,0.88,0.88,0.88,Breaking_Ties,imdb,50000,XLMR-Base,5,50,2,600,34400,15000,1.71,0.0052574951833049,0.035703896951175,0.0149849930956728,52.44028067588806,326.8413052558899,"[0.5116666666666667, 0.48833333333333334]","[0.62, 0.38]","[0.5, 0.5]",2023-03-15 19:59:45
0.9,0.9,0.9,0.9,Breaking_Ties,imdb,50000,XLMR-Base,6,50,2,650,34350,15000,1.86,0.0055267387198491,0.0349667683717866,0.014893949047796,56.83743834495544,326.3754303455353,"[0.5015384615384615, 0.49846153846153846]","[0.6, 0.4]","[0.5, 0.5]",2023-03-15 20:08:59
0.9,0.9,0.9,0.9,Breaking_Ties,imdb,50000,XLMR-Base,7,50,2,700,34300,15000,2.0,0.0064034707985232,0.0348621612643744,0.0154981930281124,61.15177798271179,325.95709013938904,"[0.5085714285714286, 0.49142857142857144]","[0.62, 0.38]","[0.5, 0.5]",2023-03-15 20:18:16
0.89,0.89,0.89,0.89,Breaking_Ties,imdb,50000,XLMR-Base,8,50,2,750,34250,15000,2.14,0.0067633965338394,0.0341051082819613,0.0154783352967629,65.53232765197754,325.6235113143921,"[0.5, 0.5]","[0.58, 0.42]","[0.5, 0.5]",2023-03-15 20:27:38
0.72,0.73,0.73,0.8,Breaking_Ties,imdb,50000,XLMR-Base,9,50,2,800,34200,15000,2.29,0.0069643300531861,0.0355514638106889,0.0151504771353385,69.87706661224365,325.0500011444092,"[0.505, 0.495]","[0.84, 0.16]","[0.5, 0.5]",2023-03-15 20:37:03
0.89,0.89,0.89,0.89,Breaking_Ties,imdb,50000,XLMR-Base,10,50,2,850,34150,15000,2.43,0.0073862314863672,0.0345779070138827,0.0149174533495185,74.4368109703064,324.66936230659485,"[0.5152941176470588, 0.48470588235294115]","[0.66, 0.34]","[0.5, 0.5]",2023-03-15 20:46:33
0.9,0.9,0.9,0.9,Breaking_Ties,imdb,50000,XLMR-Base,11,50,2,900,34100,15000,2.57,0.0084200160726054,0.0347486046446243,0.0148826861426415,78.72835111618042,324.1187846660614,"[0.5055555555555555, 0.49444444444444446]","[0.62, 0.38]","[0.5, 0.5]",2023-03-15 20:56:06
0.83,0.83,0.83,0.85,Breaking_Ties,imdb,50000,XLMR-Base,12,50,2,950,34050,15000,2.71,0.0086132300991234,0.0338670703926177,0.0152692120115167,83.01723909378052,323.5734939575196,"[0.511578947368421, 0.4884210526315789]","[0.9, 0.1]","[0.5, 0.5]",2023-03-15 21:05:43
0.9,0.9,0.9,0.9,Breaking_Ties,imdb,50000,XLMR-Base,13,50,2,1000,34000,15000,2.86,0.008711218961122,0.0342237719827556,0.0153994483147728,87.51147890090942,323.0839872360229,"[0.531, 0.469]","[0.6, 0.4]","[0.5, 0.5]",2023-03-15 21:15:24
0.73,0.74,0.74,0.81,Breaking_Ties,imdb,50000,XLMR-Base,14,50,2,1050,33950,15000,3.0,0.0096788252988355,0.0337987080173541,0.0148638515515703,91.7755844593048,322.6256260871887,"[0.5247619047619048, 0.47523809523809524]","[0.9, 0.1]","[0.5, 0.5]",2023-03-15 21:25:09
0.87,0.87,0.87,0.87,Breaking_Ties,imdb,50000,XLMR-Base,15,50,2,1100,33900,15000,3.14,0.009681843698585,0.0340672911890591,0.0151974675303282,96.19975924491882,322.0447826385498,"[0.5054545454545455, 0.49454545454545457]","[0.5, 0.5]","[0.5, 0.5]",2023-03-15 21:34:58
0.88,0.88,0.88,0.89,Breaking_Ties,imdb,50000,XLMR-Base,16,50,2,1150,33850,15000,3.29,0.0101733845129412,0.0343753199231951,0.0152915047540599,100.6155207157135,321.6282024383545,"[0.5052173913043478, 0.49478260869565216]","[0.76, 0.24]","[0.5, 0.5]",2023-03-15 21:44:50
0.64,0.67,0.67,0.79,Breaking_Ties,imdb,50000,XLMR-Base,17,50,2,1200,33800,15000,3.43,0.0108382749063002,0.0348428111448449,0.0151233037057296,104.99616241455078,321.23413014411926,"[0.5058333333333334, 0.49416666666666664]","[0.96, 0.04]","[0.5, 0.5]",2023-03-15 21:54:47
