F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.88,0.88,0.88,0.89,Random_Sampling,AG_News,127600,XLMR-Base,0,50,4,893,88427,38280,1.0,0.0080869911778937,1.3393996110056593e-07,0.035979687681412,76.20800185203552,0.0089178085327148,"[0.2620380739081747, 0.25083986562150057, 0.24636058230683092, 0.24076147816349383]","[0.34, 0.24, 0.22, 0.2]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 00:26:05
0.88,0.88,0.88,0.89,Random_Sampling,AG_News,127600,XLMR-Base,1,50,4,943,88377,38280,1.06,0.0083346076517196,8.936321817801268e-08,0.0375584321353971,80.94770765304565,0.0046463012695312,"[0.2608695652173913, 0.25556733828207845, 0.24390243902439024, 0.23966065747614]","[0.26, 0.26, 0.26, 0.22]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 00:33:51
0.88,0.88,0.88,0.88,Random_Sampling,AG_News,127600,XLMR-Base,2,50,4,993,88327,38280,1.11,0.0085150205690812,8.832734032500785e-08,0.0374585554977023,85.28203916549683,0.0046613216400146,"[0.2588116817724068, 0.25579053373615307, 0.24471299093655588, 0.2406847935548842]","[0.3, 0.28, 0.24, 0.18]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 00:41:42
0.88,0.88,0.88,0.88,Random_Sampling,AG_News,127600,XLMR-Base,3,50,4,1043,88277,38280,1.17,0.0087197300888097,7.245162194224327e-08,0.0376424668086446,89.49333930015564,0.0046417713165283,"[0.2569511025886865, 0.2550335570469799, 0.24448705656759348, 0.24352828379674019]","[0.32, 0.28, 0.24, 0.16]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 00:49:38
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,4,50,4,1093,88227,38280,1.22,0.0099644408946373,1.1723959387433127e-07,0.0374445572830635,93.8231806755066,0.0075654983520507,"[0.25800548947849955, 0.25434583714547115, 0.24702653247941445, 0.24062214089661482]","[0.28, 0.26, 0.26, 0.2]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 00:57:38
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,5,50,4,1143,88177,38280,1.28,0.0095443115479491,8.831515617923838e-08,0.0370727424081177,98.04615783691406,0.0046615600585937,"[0.25809273840769903, 0.2554680664916885, 0.24759405074365703, 0.2388451443569554]","[0.34, 0.28, 0.22, 0.16]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 01:05:42
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,6,50,4,1193,88127,38280,1.34,0.0099530249667883,8.929185316128317e-08,0.0367257769329605,102.43046474456789,0.0046586990356445,"[0.26152556580050296, 0.2564962279966471, 0.24392288348700755, 0.23805532271584243]","[0.3, 0.28, 0.28, 0.14]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 01:13:51
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,7,50,4,1243,88077,38280,1.39,0.0112242540473312,8.889091122388378e-08,0.0373583193233842,106.6658775806427,0.0048413276672363,"[0.26307320997586486, 0.251810136765889, 0.24537409493161705, 0.23974255832662913]","[0.32, 0.28, 0.24, 0.16]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 01:22:04
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,8,50,4,1293,88027,38280,1.45,0.0114013977529565,1.6091281169950285e-07,0.0369916523352363,111.10169816017152,0.0100767612457275,"[0.2590873936581593, 0.25444702242846096, 0.2451662799690642, 0.24129930394431554]","[0.32, 0.32, 0.18, 0.18]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 01:30:21
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,9,50,4,1343,87977,38280,1.5,0.0111650358848105,8.871947850764012e-08,0.0371874674477047,115.33693099021912,0.0047652721405029,"[0.26135517498138494, 0.2516753536857781, 0.24422933730454208, 0.24274013402829486]","[0.4, 0.24, 0.18, 0.18]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 01:38:43
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,10,50,4,1393,87927,38280,1.56,0.0121167602301067,1.323065201659231e-07,0.0373489901124447,119.80141806602478,0.0090196132659912,"[0.25843503230437903, 0.25125628140703515, 0.2498205312275664, 0.2404881550610194]","[0.32, 0.28, 0.24, 0.16]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 01:47:09
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,11,50,4,1443,87877,38280,1.62,0.013178680872157,7.416494889551625e-08,0.0377880926680339,123.97146081924438,0.0048403739929199,"[0.2577962577962578, 0.25225225225225223, 0.2467082467082467, 0.24324324324324326]","[0.3, 0.24, 0.24, 0.22]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 01:55:39
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,12,50,4,1493,87827,38280,1.67,0.0127806853932905,7.501976386608484e-08,0.0376135775270737,128.28034448623657,0.0046439170837402,"[0.2572002679169457, 0.25184192900200936, 0.24581379772270595, 0.2451440053583389]","[0.34, 0.34, 0.26, 0.06]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 02:04:14
0.9,0.9,0.9,0.9,Random_Sampling,AG_News,127600,XLMR-Base,13,50,4,1543,87777,38280,1.73,0.0125764832489941,8.805061935921168e-08,0.0376950179878661,132.62090635299683,0.0046157836914062,"[0.2572909915748542, 0.254698639014906, 0.24886584575502269, 0.2391445236552171]","[0.3, 0.28, 0.22, 0.2]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 02:12:53
0.89,0.89,0.89,0.9,Random_Sampling,AG_News,127600,XLMR-Base,14,50,4,1593,87727,38280,1.78,0.0143775536013751,8.900319647987249e-08,0.0381641201031273,136.78024649620056,0.0046403408050537,"[0.256120527306968, 0.25549278091650973, 0.24984306340238543, 0.23854362837413684]","[0.3, 0.24, 0.24, 0.22]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 02:21:36
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,15,50,4,1643,87677,38280,1.84,0.0141036883138694,8.858254799279419e-08,0.0377214201273065,141.1893274784088,0.004645824432373,"[0.2556299452221546, 0.2550213024954352, 0.248934875228241, 0.2404138770541692]","[0.34, 0.32, 0.18, 0.16]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 02:30:23
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,16,50,4,1693,87627,38280,1.9,0.014988243410114,8.738406227753038e-08,0.0368207709105568,145.43002486228943,0.0046124458312988,"[0.25694034258712345, 0.25339633786178384, 0.24630832841110456, 0.24335499113998818]","[0.3, 0.3, 0.24, 0.16]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 02:39:15
0.89,0.89,0.89,0.9,Random_Sampling,AG_News,127600,XLMR-Base,17,50,4,1743,87577,38280,1.95,0.0151821907447784,8.802791315956494e-08,0.0369872805556059,149.78561735153198,0.0054914951324462,"[0.25817555938037867, 0.25301204819277107, 0.24497991967871485, 0.2438324727481354]","[0.32, 0.26, 0.24, 0.18]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 02:48:11
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,18,50,4,1793,87527,38280,2.01,0.0160904994512453,8.947518507260538e-08,0.0368818238977199,154.13177394866943,0.0049264430999755,"[0.2598996095928611, 0.2532069157836029, 0.24372559955382042, 0.24316787506971557]","[0.32, 0.28, 0.24, 0.16]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 02:57:12
0.9,0.9,0.9,0.9,Random_Sampling,AG_News,127600,XLMR-Base,19,50,4,1843,87477,38280,2.06,0.0158549645664696,1.468322022548827e-07,0.0379978793310209,158.37902569770813,0.0091161727905273,"[0.25718936516549107, 0.2539338035811177, 0.24525230602278894, 0.24362452523060227]","[0.32, 0.26, 0.22, 0.2]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 03:06:16
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,20,50,4,1893,87427,38280,2.12,0.0164989300458041,8.702762148885145e-08,0.0367988841176919,162.6323628425598,0.0058486461639404,"[0.2588483888008452, 0.2525092445853143, 0.2445853143159007, 0.24405705229793978]","[0.3, 0.28, 0.28, 0.14]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 03:15:25
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,21,50,4,1943,87377,38280,2.18,0.0172207745516438,8.747876243362455e-08,0.0382009830516714,166.94117665290833,0.0052101612091064,"[0.25939269171384455, 0.2537313432835821, 0.24549665465774576, 0.2413793103448276]","[0.36, 0.26, 0.22, 0.16]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 03:24:38
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,22,50,4,1993,87327,38280,2.23,0.0176337472158913,8.791195241131267e-08,0.037903335945387,171.32109117507937,0.0048949718475341,"[0.26191670847967885, 0.25388861013547415, 0.24485699949824385, 0.23933768188660312]","[0.28, 0.28, 0.26, 0.18]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 03:33:55
0.9,0.9,0.9,0.9,Random_Sampling,AG_News,127600,XLMR-Base,23,50,4,2043,87277,38280,2.29,0.0179589640916078,1.176263250131148e-07,0.0377575735487789,175.6498830318451,0.0072393417358398,"[0.2623592755751346, 0.2545276554087127, 0.24522760646108663, 0.23788546255506607]","[0.34, 0.24, 0.22, 0.2]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 03:43:17
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,24,50,4,2093,87227,38280,2.34,0.0184924413825683,1.3161297274254718e-07,0.0381583587431923,179.82957553863525,0.0082333087921142,"[0.26421404682274247, 0.25322503583373146, 0.24462494027711418, 0.23793597706641184]","[0.32, 0.24, 0.24, 0.2]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 03:52:44
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,25,50,4,2143,87177,38280,2.4,0.0192812985529146,7.271466510351325e-08,0.0369986058031662,184.0878932476044,0.0045881271362304,"[0.2636490900606626, 0.2529164722351843, 0.2435837610825945, 0.23985067662155857]","[0.34, 0.24, 0.24, 0.18]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 04:02:14
0.9,0.9,0.9,0.9,Random_Sampling,AG_News,127600,XLMR-Base,26,50,4,2193,87127,38280,2.46,0.0194200921441942,8.815536544506561e-08,0.037216318386765,188.50921630859372,0.0046198368072509,"[0.2617419060647515, 0.25262197902416783, 0.24578203374373006, 0.23985408116735066]","[0.34, 0.32, 0.22, 0.12]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 04:11:48
0.9,0.9,0.9,0.9,Random_Sampling,AG_News,127600,XLMR-Base,27,50,4,2243,87077,38280,2.51,0.0198084191221824,7.272895737747563e-08,0.0374286815644797,192.76548981666565,0.0045528411865234,"[0.2634864021399911, 0.2518947837717343, 0.2429781542576906, 0.24164065983058403]","[0.36, 0.24, 0.22, 0.18]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 04:21:27
0.89,0.89,0.89,0.9,Random_Sampling,AG_News,127600,XLMR-Base,28,50,4,2293,87027,38280,2.57,0.0211308675845821,8.699610421134126e-08,0.0379199176545374,197.07636213302607,0.0045998096466064,"[0.262974269515918, 0.2511993022241605, 0.24552987352812908, 0.2402965547317924]","[0.34, 0.26, 0.22, 0.18]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 04:31:10
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,29,50,4,2343,86977,38280,2.62,0.0209131232259775,8.793909037676528e-08,0.0374823480264968,201.40080761909485,0.0046217441558837,"[0.2612035851472471, 0.2513871105420401, 0.24498506188647035, 0.24242424242424243]","[0.34, 0.26, 0.22, 0.18]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 04:40:58
0.89,0.89,0.89,0.9,Random_Sampling,AG_News,127600,XLMR-Base,30,50,4,2393,86927,38280,2.68,0.021368600466845,8.840260880948732e-08,0.0376179424374823,205.58449697494507,0.0045812129974365,"[0.26284997910572505, 0.2498955286251567, 0.24446301713330548, 0.24279147513581278]","[0.36, 0.26, 0.22, 0.16]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 04:50:49
0.89,0.89,0.89,0.89,Random_Sampling,AG_News,127600,XLMR-Base,31,50,4,2443,86877,38280,2.74,0.0216505233475891,1.333380242246147e-07,0.0384334759496219,209.7220923900604,0.0083534717559814,"[0.2627916496111338, 0.2521489971346705, 0.24273434302087596, 0.24232501023331968]","[0.32, 0.32, 0.2, 0.16]","[0.25, 0.25, 0.25, 0.25]",2023-03-11 05:00:45
