F1,Accuracy,Recall,Precision,Query,Data,Model,Round,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime,Dataset_size
0.52,0.66,0.66,0.43,Random_Sampling,Claimbuster,XLMR-Base,0,165,16308,7060,1.0,0.0010401584256456,7.290080750513834e-08,0.0070182188314881,14.061802864074709,0.0045156478881835,"[0.6424242424242425, 0.2606060606060606, 0.09696969696969697]","[0.58, 0.28, 0.14]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:02:56,23533
0.52,0.66,0.66,0.43,Random_Sampling,Claimbuster,XLMR-Base,1,215,16258,7060,1.31,0.0020458195340426,1.2300389643341877e-07,0.0070854031135737,18.34783911705017,0.0070564746856689,"[0.627906976744186, 0.2651162790697674, 0.10697674418604651]","[0.64, 0.22, 0.14]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:04:39,23533
0.52,0.66,0.66,0.43,Random_Sampling,Claimbuster,XLMR-Base,2,265,16208,7060,1.61,0.0019093242673723,7.538632319603527e-08,0.0069278910619503,22.661144495010376,0.0045664310455322,"[0.630188679245283, 0.25660377358490566, 0.11320754716981132]","[0.58, 0.32, 0.1]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:06:25,23533
0.52,0.66,0.66,0.43,Random_Sampling,Claimbuster,XLMR-Base,3,315,16158,7060,1.91,0.0026304237059511,7.842522466041922e-08,0.0069764604302349,26.881789445877075,0.0045633316040039,"[0.6222222222222222, 0.26666666666666666, 0.1111111111111111]","[0.66, 0.18, 0.16]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:08:17,23533
0.52,0.66,0.66,0.43,Random_Sampling,Claimbuster,XLMR-Base,4,365,16108,7060,2.22,0.0033240377271472,7.41096898670606e-08,0.0070179966588675,31.15060925483704,0.0046021938323974,"[0.6273972602739726, 0.2547945205479452, 0.1178082191780822]","[0.6, 0.26, 0.14]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:10:12,23533
0.57,0.68,0.68,0.65,Random_Sampling,Claimbuster,XLMR-Base,5,415,16058,7060,2.52,0.0036452888460047,1.766648653671611e-07,0.007083559613549,35.3621609210968,0.0114843845367431,"[0.6240963855421687, 0.25542168674698795, 0.12048192771084337]","[0.68, 0.18, 0.14]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:12:12,23533
0.52,0.66,0.66,0.43,Random_Sampling,Claimbuster,XLMR-Base,6,465,16008,7060,2.82,0.0038350986468882,1.3479112479131158e-07,0.007013043104447,39.71404457092285,0.007422924041748,"[0.6301075268817204, 0.24731182795698925, 0.12258064516129032]","[0.66, 0.26, 0.08]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:14:15,23533
0.67,0.73,0.73,0.65,Random_Sampling,Claimbuster,XLMR-Base,7,515,15958,7060,3.13,0.0038504994117707,7.536906853653805e-08,0.0069810424666572,44.006709814071655,0.0048530101776123,"[0.6330097087378641, 0.24854368932038834, 0.11844660194174757]","[0.54, 0.34, 0.12]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:16:24,23533
0.69,0.74,0.74,0.66,Random_Sampling,Claimbuster,XLMR-Base,8,565,15908,7060,3.43,0.0051253211971457,7.764281820528815e-08,0.0071076315656818,48.27597498893738,0.004951000213623,"[0.6247787610619469, 0.25663716814159293, 0.11858407079646018]","[0.66, 0.2, 0.14]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:18:36,23533
0.72,0.76,0.76,0.68,Random_Sampling,Claimbuster,XLMR-Base,9,615,15858,7060,3.73,0.0048976383559214,1.212372841585423e-07,0.0070871118582635,52.58263158798218,0.0063247680664062,"[0.6276422764227643, 0.25203252032520324, 0.12032520325203253]","[0.56, 0.36, 0.08]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:20:53,23533
0.64,0.66,0.66,0.65,Random_Sampling,Claimbuster,XLMR-Base,10,665,15808,7060,4.04,0.0053755363640916,9.109251549982184e-08,0.0072191984279154,56.77899360656738,0.0049028396606445,"[0.6225563909774436, 0.26015037593984963, 0.11729323308270677]","[0.78, 0.14, 0.08]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:23:14,23533
0.73,0.77,0.77,0.7,Random_Sampling,Claimbuster,XLMR-Base,11,715,15758,7060,4.34,0.006517525364342,7.715778292207698e-08,0.0070790057127728,61.09998345375061,0.0049114227294921,"[0.6335664335664336, 0.2517482517482518, 0.11468531468531469]","[0.76, 0.12, 0.12]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:25:40,23533
0.72,0.76,0.76,0.68,Random_Sampling,Claimbuster,XLMR-Base,12,765,15708,7060,4.64,0.0070355253405021,7.534465754673878e-08,0.0069556363566168,65.34871029853821,0.0048792362213134,"[0.6418300653594772, 0.24313725490196078, 0.11503267973856209]","[0.64, 0.28, 0.08]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:28:09,23533
0.72,0.75,0.75,0.69,Random_Sampling,Claimbuster,XLMR-Base,13,815,15658,7060,4.95,0.0066667382479263,7.711582316179076e-08,0.0071999082924777,69.6639335155487,0.0050544738769531,"[0.6417177914110429, 0.24539877300613497, 0.11288343558282209]","[0.72, 0.18, 0.1]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:30:43,23533
0.72,0.76,0.76,0.69,Random_Sampling,Claimbuster,XLMR-Base,14,865,15608,7060,5.25,0.0070806911338584,8.874753219064287e-08,0.0069600079038729,73.94491767883301,0.0047187805175781,"[0.6462427745664739, 0.24161849710982658, 0.11213872832369942]","[0.62, 0.22, 0.16]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:33:21,23533
0.73,0.76,0.76,0.7,Random_Sampling,Claimbuster,XLMR-Base,15,915,15558,7060,5.55,0.0081356736792319,1.776059487434878e-07,0.0069607235777303,78.19257879257202,0.0112981796264648,"[0.644808743169399, 0.24043715846994534, 0.11475409836065574]","[0.62, 0.36, 0.02]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:36:04,23533
0.71,0.76,0.76,0.68,Random_Sampling,Claimbuster,XLMR-Base,16,965,15508,7060,5.86,0.0081762066406934,9.227360043755069e-08,0.0069416829308999,82.4743115901947,0.0051751136779785,"[0.6435233160621762, 0.24663212435233162, 0.10984455958549223]","[0.7, 0.2, 0.1]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:38:51,23533
0.74,0.77,0.77,0.75,Random_Sampling,Claimbuster,XLMR-Base,17,1015,15458,7060,6.16,0.0083199415003048,9.071134071302629e-08,0.0072433890908985,86.6714551448822,0.0048842430114746,"[0.6463054187192119, 0.24433497536945814, 0.10935960591133005]","[0.62, 0.26, 0.12]","[0.6550991501416431, 0.24008498583569404, 0.1048158640226629]",2023-03-08 12:41:42,23533
