F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.58,0.7,0.7,0.79,Random_Sampling,Cola,9569,XLMR-Base,0,50,2,67,6631,2871,1.0,0.0003714441465841,9.355950467541524e-08,0.0025707012031035,6.148811340332031,0.0055580139160156,"[0.5970149253731343, 0.40298507462686567]","[0.74, 0.26]","[0.7021943573667712, 0.29780564263322884]",2023-03-11 00:06:47
0.58,0.7,0.7,0.49,Random_Sampling,Cola,9569,XLMR-Base,1,50,2,117,6581,2871,1.75,0.0006095677667055,9.231248102520213e-08,0.0027224991605485,9.980563402175903,0.0049529075622558,"[0.6581196581196581, 0.3418803418803419]","[0.66, 0.34]","[0.7021943573667712, 0.29780564263322884]",2023-03-11 00:07:43
0.58,0.7,0.7,0.49,Random_Sampling,Cola,9569,XLMR-Base,2,50,2,167,6531,2871,2.49,0.00083849780931,7.835006447908962e-08,0.0027457448876247,14.274369716644289,0.0049242973327636,"[0.6586826347305389, 0.3413173652694611]","[0.68, 0.32]","[0.7021943573667712, 0.29780564263322884]",2023-03-11 00:08:42
0.58,0.7,0.7,0.49,Random_Sampling,Cola,9569,XLMR-Base,3,50,2,217,6481,2871,3.24,0.0020168510064718,1.3573409309267253e-07,0.0027563229802409,18.380345344543457,0.008866548538208,"[0.663594470046083, 0.33640552995391704]","[0.64, 0.36]","[0.7021943573667712, 0.29780564263322884]",2023-03-11 00:09:44
0.58,0.7,0.7,0.49,Random_Sampling,Cola,9569,XLMR-Base,4,50,2,267,6431,2871,3.99,0.0019595527663123,7.662488842955222e-08,0.0027297620117392,22.72355365753174,0.0045893192291259,"[0.6591760299625468, 0.3408239700374532]","[0.76, 0.24]","[0.7021943573667712, 0.29780564263322884]",2023-03-11 00:10:51
0.58,0.7,0.7,0.49,Random_Sampling,Cola,9569,XLMR-Base,5,50,2,317,6381,2871,4.73,0.0022651405285119,9.204098123873624e-08,0.00253450854256,26.90148019790649,0.0049633979797363,"[0.6750788643533123, 0.3249211356466877]","[0.64, 0.36]","[0.7021943573667712, 0.29780564263322884]",2023-03-11 00:12:03
0.58,0.7,0.7,0.49,Random_Sampling,Cola,9569,XLMR-Base,6,50,2,367,6331,2871,5.48,0.0033359850256927,9.261865563152424e-08,0.0026925752795227,31.20785164833069,0.0050032138824462,"[0.670299727520436, 0.329700272479564]","[0.76, 0.24]","[0.7021943573667712, 0.29780564263322884]",2023-03-11 00:13:18
0.58,0.7,0.7,0.59,Random_Sampling,Cola,9569,XLMR-Base,7,50,2,417,6281,2871,6.23,0.0037772981965582,7.702733692194408e-08,0.0025519032155163,35.46881628036499,0.0049810409545898,"[0.6810551558752997, 0.31894484412470026]","[0.8, 0.2]","[0.7021943573667712, 0.29780564263322884]",2023-03-11 00:14:38
0.58,0.7,0.7,0.49,Random_Sampling,Cola,9569,XLMR-Base,8,50,2,467,6231,2871,6.97,0.0033631817011667,8.992208076609698e-08,0.0026206099289611,39.68682289123535,0.0049872398376464,"[0.6937901498929336, 0.30620985010706636]","[0.74, 0.26]","[0.7021943573667712, 0.29780564263322884]",2023-03-11 00:16:02
0.58,0.7,0.7,0.49,Random_Sampling,Cola,9569,XLMR-Base,9,50,2,517,6181,2871,7.72,0.0039610643537678,9.005854397233057e-08,0.0027557019491165,43.99194979667664,0.0053472518920898,"[0.6982591876208898, 0.30174081237911027]","[0.66, 0.34]","[0.7021943573667712, 0.29780564263322884]",2023-03-11 00:17:30
0.58,0.7,0.7,0.49,Random_Sampling,Cola,9569,XLMR-Base,10,50,2,567,6131,2871,8.47,0.0048693518981516,7.708084452546777e-08,0.0027512802529949,48.1723530292511,0.0050024986267089,"[0.6948853615520282, 0.30511463844797176]","[0.64, 0.36]","[0.7021943573667712, 0.29780564263322884]",2023-03-11 00:19:02
0.58,0.7,0.7,0.49,Random_Sampling,Cola,9569,XLMR-Base,11,50,2,617,6081,2871,9.21,0.0053470258305243,1.4879397300297206e-07,0.002737633475629,52.546191692352295,0.0095558166503906,"[0.6904376012965965, 0.3095623987034036]","[0.72, 0.28]","[0.7021943573667712, 0.29780564263322884]",2023-03-11 00:20:39
0.58,0.7,0.7,0.49,Random_Sampling,Cola,9569,XLMR-Base,12,50,2,667,6031,2871,9.96,0.00554408824692,9.082761196064909e-08,0.002767879201076,56.77928948402405,0.004920482635498,"[0.6926536731634183, 0.3073463268365817]","[0.8, 0.2]","[0.7021943573667712, 0.29780564263322884]",2023-03-11 00:22:20
0.58,0.7,0.7,0.49,Random_Sampling,Cola,9569,XLMR-Base,13,50,2,717,5981,2871,10.7,0.0062650844662885,1.4844495002910726e-07,0.0026269680664932,60.97979068756104,0.0091185569763183,"[0.700139470013947, 0.299860529986053]","[0.8, 0.2]","[0.7021943573667712, 0.29780564263322884]",2023-03-11 00:24:06
