F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.08,0.16,0.16,0.06,Random_Sampling,Go_Emotions,15237,XLMR-Base,0,50,10,107,10558,4572,1.0,0.0006965562107558,9.040821431071444e-08,0.0044312033442443,9.208857774734495,0.0046432018280029,"[0.14018691588785046, 0.1308411214953271, 0.1308411214953271, 0.11214953271028037, 0.11214953271028037, 0.09345794392523364, 0.09345794392523364, 0.08411214953271028, 0.06542056074766354, 0.037383177570093455]","[0.18, 0.14, 0.14, 0.12, 0.12, 0.1, 0.08, 0.04, 0.04, 0.04]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-09 23:07:39
0.06,0.11,0.11,0.06,Random_Sampling,Go_Emotions,15237,XLMR-Base,1,50,10,157,10508,4572,1.47,0.0008140884445866,9.34702611550749e-08,0.0044088030961081,13.402822971343994,0.0050337314605712,"[0.14012738853503184, 0.1337579617834395, 0.12101910828025478, 0.10828025477707007, 0.10191082802547771, 0.10191082802547771, 0.10191082802547771, 0.07006369426751592, 0.06369426751592357, 0.05732484076433121]","[0.26, 0.16, 0.14, 0.1, 0.1, 0.06, 0.06, 0.06, 0.04, 0.02]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-09 23:08:52
0.03,0.11,0.11,0.06,Random_Sampling,Go_Emotions,15237,XLMR-Base,2,50,10,207,10458,4572,1.94,0.0018102708542153,1.679290345923705e-07,0.0044248478555407,17.674086332321167,0.0094985961914062,"[0.14009661835748793, 0.13043478260869565, 0.11594202898550725, 0.11594202898550725, 0.11594202898550725, 0.10144927536231885, 0.0821256038647343, 0.07246376811594203, 0.06763285024154589, 0.057971014492753624]","[0.14, 0.14, 0.14, 0.12, 0.12, 0.08, 0.08, 0.06, 0.06, 0.06]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-09 23:10:10
0.03,0.11,0.11,0.11,Random_Sampling,Go_Emotions,15237,XLMR-Base,3,50,10,257,10408,4572,2.41,0.0018728057218133,1.222613026907367e-07,0.0044416941015457,21.96990942955017,0.0068552494049072,"[0.13618677042801555, 0.12062256809338522, 0.12062256809338522, 0.11673151750972763, 0.10505836575875487, 0.09727626459143969, 0.08949416342412451, 0.08560311284046693, 0.06614785992217899, 0.0622568093385214]","[0.18, 0.14, 0.14, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08, 0.04]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-09 23:11:33
0.06,0.13,0.13,0.08,Random_Sampling,Go_Emotions,15237,XLMR-Base,4,50,10,307,10358,4572,2.88,0.0020348893497743,9.25368249326891e-08,0.0044145514403013,26.147273540496823,0.0049052238464355,"[0.1270358306188925, 0.12052117263843648, 0.11400651465798045, 0.10749185667752444, 0.10423452768729642, 0.10423452768729642, 0.10097719869706841, 0.08469055374592833, 0.06840390879478828, 0.06840390879478828]","[0.22, 0.16, 0.14, 0.1, 0.1, 0.08, 0.08, 0.06, 0.06]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-09 23:12:59
0.05,0.14,0.14,0.03,Random_Sampling,Go_Emotions,15237,XLMR-Base,5,50,10,357,10308,4572,3.35,0.0032025194909512,8.899200031775395e-08,0.0044535979712622,30.447413682937626,0.0049455165863037,"[0.12324929971988796, 0.12044817927170869, 0.12044817927170869, 0.1092436974789916, 0.10084033613445378, 0.09803921568627451, 0.09803921568627451, 0.08683473389355742, 0.07282913165266107, 0.0700280112044818]","[0.18, 0.16, 0.14, 0.12, 0.1, 0.08, 0.08, 0.06, 0.04, 0.04]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-09 23:14:30
0.09,0.18,0.18,0.08,Random_Sampling,Go_Emotions,15237,XLMR-Base,6,50,10,407,10258,4572,3.82,0.0035422578911056,1.4811484356158156e-07,0.0044279372745826,34.663851499557495,0.0090603828430175,"[0.12530712530712532, 0.12530712530712532, 0.11547911547911548, 0.11056511056511056, 0.10073710073710074, 0.10073710073710074, 0.09090909090909091, 0.08845208845208845, 0.07125307125307126, 0.07125307125307126]","[0.16, 0.16, 0.1, 0.1, 0.1, 0.1, 0.08, 0.08, 0.06, 0.06]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-09 23:16:05
0.11,0.21,0.21,0.12,Random_Sampling,Go_Emotions,15237,XLMR-Base,7,50,10,457,10208,4572,4.29,0.003583608621491,9.005355985267067e-08,0.0044326666551148,38.98474955558777,0.0049347877502441,"[0.12910284463894967, 0.12253829321663019, 0.11597374179431072, 0.10940919037199125, 0.10065645514223195, 0.0962800875273523, 0.09190371991247265, 0.08971553610503283, 0.07221006564551423, 0.07221006564551423]","[0.16, 0.14, 0.14, 0.14, 0.1, 0.08, 0.08, 0.08, 0.06, 0.02]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-09 23:17:45
0.13,0.23,0.23,0.11,Random_Sampling,Go_Emotions,15237,XLMR-Base,8,50,10,507,10158,4572,4.75,0.0039696332703576,9.000362488818435e-08,0.0044023628698289,43.22776246070862,0.0053632259368896,"[0.1242603550295858, 0.1203155818540434, 0.11834319526627218, 0.11242603550295859, 0.10650887573964497, 0.09467455621301775, 0.09270216962524655, 0.09072978303747535, 0.07297830374753451, 0.0670611439842209]","[0.16, 0.14, 0.12, 0.12, 0.1, 0.1, 0.08, 0.08, 0.06, 0.04]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-09 23:19:28
0.11,0.21,0.21,0.12,Random_Sampling,Go_Emotions,15237,XLMR-Base,9,50,10,557,10108,4572,5.22,0.0048810104941063,7.52902145743255e-08,0.0044792799663228,47.46191620826721,0.0049333572387695,"[0.12387791741472172, 0.12387791741472172, 0.11131059245960502, 0.11131059245960502, 0.10412926391382406, 0.09694793536804308, 0.0933572710951526, 0.09156193895870736, 0.0718132854578097, 0.0718132854578097]","[0.14, 0.14, 0.12, 0.12, 0.12, 0.1, 0.08, 0.08, 0.06, 0.04]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-09 23:21:16
0.12,0.19,0.19,0.15,Random_Sampling,Go_Emotions,15237,XLMR-Base,10,50,10,607,10058,4572,5.69,0.0052243229371972,1.629737215826965e-07,0.0044714483500311,51.659934282302856,0.0104939937591552,"[0.12520593080724876, 0.12355848434925865, 0.11367380560131796, 0.10873146622734761, 0.10214168039538715, 0.09719934102141681, 0.09555189456342669, 0.08896210873146623, 0.0757825370675453, 0.06919275123558484]","[0.2, 0.16, 0.14, 0.1, 0.1, 0.08, 0.08, 0.06, 0.06, 0.02]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-09 23:23:09
0.07,0.19,0.19,0.05,Random_Sampling,Go_Emotions,15237,XLMR-Base,11,50,10,657,10008,4572,6.16,0.0057052056781812,7.68575491058194e-08,0.0044129858327304,56.02748346328735,0.0049958229064941,"[0.1308980213089802, 0.1202435312024353, 0.1171993911719939, 0.106544901065449, 0.1019786910197869, 0.0974124809741248, 0.0928462709284627, 0.0837138508371385, 0.0745814307458143, 0.0745814307458143]","[0.18, 0.14, 0.14, 0.1, 0.1, 0.08, 0.08, 0.08, 0.06, 0.04]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-09 23:25:05
0.2,0.27,0.27,0.25,Random_Sampling,Go_Emotions,15237,XLMR-Base,12,50,10,707,9958,4572,6.63,0.0061911626236842,1.4830450043517076e-07,0.0041807019547545,60.30082964897156,0.0090150833129882,"[0.12871287128712872, 0.11598302687411598, 0.11173974540311174, 0.11173974540311174, 0.10466760961810467, 0.09759547383309759, 0.09193776520509193, 0.08345120226308345, 0.07920792079207921, 0.07496463932107496]","[0.14, 0.12, 0.12, 0.12, 0.1, 0.1, 0.08, 0.08, 0.08, 0.06]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-09 23:27:06
0.3,0.35,0.35,0.41,Random_Sampling,Go_Emotions,15237,XLMR-Base,13,50,10,757,9908,4572,7.1,0.0064555570978947,8.89844912511776e-08,0.0044146213406913,64.5374083518982,0.0051796436309814,"[0.12813738441215325, 0.11624834874504623, 0.11228533685601057, 0.11096433289299867, 0.10303830911492734, 0.095112285336856, 0.09247027741083223, 0.083223249669749, 0.07926023778071334, 0.07926023778071334]","[0.18, 0.16, 0.16, 0.12, 0.12, 0.08, 0.06, 0.06, 0.04, 0.02]","[0.13342082239720035, 0.11657917760279965, 0.1036745406824147, 0.09951881014873142, 0.097331583552056, 0.09689413823272092, 0.09186351706036745, 0.09011373578302712, 0.08639545056867892, 0.0842082239720035]",2023-03-09 23:29:11
