F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.1,0.19,0.19,0.08,Random_Sampling,Liar,12836,XLMR-Base,0,50,6,90,8896,3850,1.0,0.0005755211134701,9.337435856880933e-08,0.0038084665082856,7.875127792358398,0.0053253173828125,"[0.23333333333333334, 0.23333333333333334, 0.2, 0.15555555555555556, 0.1111111111111111, 0.06666666666666667]","[0.22, 0.2, 0.2, 0.18, 0.12, 0.08]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-09 21:56:02
0.11,0.18,0.18,0.13,Random_Sampling,Liar,12836,XLMR-Base,1,50,6,140,8846,3850,1.56,0.0007834110259337,7.834886437168514e-08,0.0038165628832708,11.99042272567749,0.0048792362213134,"[0.22142857142857142, 0.22142857142857142, 0.17857142857142858, 0.17142857142857143, 0.1357142857142857, 0.07142857142857142]","[0.3, 0.22, 0.18, 0.18, 0.1, 0.02]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-09 21:57:08
0.08,0.2,0.2,0.12,Random_Sampling,Liar,12836,XLMR-Base,2,50,6,190,8796,3850,2.11,0.0016534209255133,1.2346902158023353e-07,0.0037536255643784,16.206594944000244,0.0070741176605224,"[0.24210526315789474, 0.22105263157894736, 0.17894736842105263, 0.1736842105263158, 0.12631578947368421, 0.05789473684210526]","[0.22, 0.22, 0.16, 0.16, 0.14, 0.1]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-09 21:58:18
0.07,0.21,0.21,0.04,Random_Sampling,Liar,12836,XLMR-Base,3,50,6,240,8746,3850,2.67,0.0020027606493172,1.1908276400087109e-07,0.0037818328166912,20.465574979782104,0.0072958469390869,"[0.2375, 0.20833333333333334, 0.17083333333333334, 0.17083333333333334, 0.14583333333333334, 0.06666666666666667]","[0.32, 0.2, 0.16, 0.14, 0.12, 0.06]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-09 21:59:32
0.07,0.21,0.21,0.11,Random_Sampling,Liar,12836,XLMR-Base,4,50,6,290,8696,3850,3.23,0.0020917506035972,1.8025702229907658e-07,0.0037249341989078,24.74855208396912,0.0111513137817382,"[0.23103448275862068, 0.19655172413793104, 0.19310344827586207, 0.16896551724137931, 0.1310344827586207, 0.07931034482758621]","[0.28, 0.2, 0.18, 0.14, 0.14, 0.06]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-09 22:00:50
0.16,0.22,0.22,0.13,Random_Sampling,Liar,12836,XLMR-Base,5,50,6,340,8646,3850,3.78,0.0027007433947742,9.343340108290797e-08,0.0036653558621137,28.925687313079838,0.0049159526824951,"[0.23823529411764705, 0.19411764705882353, 0.18823529411764706, 0.17058823529411765, 0.1323529411764706, 0.07647058823529412]","[0.22, 0.22, 0.2, 0.18, 0.14, 0.04]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-09 22:02:13
0.12,0.21,0.21,0.09,Random_Sampling,Liar,12836,XLMR-Base,6,50,6,390,8596,3850,4.34,0.003475826090111,7.68785064183732e-08,0.0038052324366544,33.26978611946106,0.0049419403076171,"[0.2358974358974359, 0.19230769230769232, 0.18205128205128204, 0.17692307692307693, 0.14102564102564102, 0.07179487179487179]","[0.24, 0.24, 0.22, 0.18, 0.06, 0.06]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-09 22:03:39
0.07,0.21,0.21,0.04,Random_Sampling,Liar,12836,XLMR-Base,7,50,6,440,8546,3850,4.9,0.0035645734917072,1.3285433056627526e-07,0.0037105214593985,37.50091600418091,0.008908987045288,"[0.23636363636363636, 0.19545454545454546, 0.18863636363636363, 0.17727272727272728, 0.1318181818181818, 0.07045454545454545]","[0.3, 0.2, 0.16, 0.14, 0.14, 0.06]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-09 22:05:10
0.14,0.22,0.22,0.14,Random_Sampling,Liar,12836,XLMR-Base,8,50,6,490,8496,3850,5.45,0.0038792897818747,8.914110869114181e-08,0.0037523652134021,41.794071197509766,0.0047099590301513,"[0.22857142857142856, 0.2, 0.19591836734693877, 0.17346938775510204, 0.1326530612244898, 0.06938775510204082]","[0.3, 0.28, 0.14, 0.12, 0.12, 0.04]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-09 22:06:46
0.13,0.22,0.22,0.16,Random_Sampling,Liar,12836,XLMR-Base,9,50,6,540,8446,3850,6.01,0.0048547340260178,8.92592909214681e-08,0.003723401980482,46.00684189796448,0.00490403175354,"[0.21851851851851853, 0.20925925925925926, 0.2037037037037037, 0.1685185185185185, 0.13333333333333333, 0.06666666666666667]","[0.28, 0.2, 0.18, 0.16, 0.1, 0.08]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-09 22:08:26
0.12,0.21,0.21,0.15,Random_Sampling,Liar,12836,XLMR-Base,10,50,6,590,8396,3850,6.57,0.0051275150894324,8.967874151176413e-08,0.0038185202914622,50.3075156211853,0.0049352645874023,"[0.2135593220338983, 0.2016949152542373, 0.19830508474576272, 0.1711864406779661, 0.14576271186440679, 0.06949152542372881]","[0.32, 0.28, 0.16, 0.12, 0.1, 0.02]","[0.20545454545454545, 0.19558441558441558, 0.19220779220779222, 0.16415584415584417, 0.16077922077922077, 0.08181818181818182]",2023-03-09 22:10:09
