F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.18,0.33,0.33,0.17,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,0,50,5,101,10007,4330,1.0,0.0005469106332052,9.08948745083407e-08,0.0043523257824099,8.869173049926758,0.0046083927154541,"[0.37623762376237624, 0.2376237623762376, 0.15841584158415842, 0.13861386138613863, 0.0891089108910891]","[0.38, 0.32, 0.18, 0.08, 0.04]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:26:38
0.17,0.33,0.33,0.11,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,1,50,5,151,9957,4330,1.49,0.0007995575294673,1.3434147334281485e-07,0.0043623118993089,13.14821434020996,0.0088517665863037,"[0.37748344370860926, 0.26490066225165565, 0.16556291390728478, 0.11920529801324503, 0.0728476821192053]","[0.36, 0.2, 0.18, 0.14, 0.12]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:27:52
0.17,0.33,0.33,0.11,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,2,50,5,201,9907,4330,1.99,0.0017943946052182,8.975671397942182e-08,0.0043575510738279,17.514670610427856,0.0045793056488037,"[0.373134328358209, 0.24875621890547264, 0.15920398009950248, 0.13432835820895522, 0.0845771144278607]","[0.34, 0.2, 0.2, 0.18, 0.08]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:29:10
0.17,0.33,0.33,0.11,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,3,50,5,251,9857,4330,2.48,0.0020377501680598,9.046941571189057e-08,0.0043733482837714,21.824622869491577,0.0046143531799316,"[0.3665338645418327, 0.23904382470119523, 0.16733067729083664, 0.14342629482071714, 0.08366533864541832]","[0.26, 0.22, 0.2, 0.16, 0.16]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:30:32
0.17,0.33,0.33,0.11,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,4,50,5,301,9807,4330,2.98,0.0023568985078181,7.751088247067914e-08,0.0043320528984413,26.13948965072632,0.0046963691711425,"[0.3488372093023256, 0.23588039867109634, 0.16611295681063123, 0.15282392026578073, 0.09634551495016612]","[0.3, 0.28, 0.22, 0.12, 0.08]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:31:58
0.22,0.36,0.36,0.28,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,5,50,5,351,9757,4330,3.47,0.0032772437713778,9.080359792951375e-08,0.0043509387882307,30.429145336151123,0.004617691040039,"[0.33903133903133903, 0.2336182336182336, 0.18518518518518517, 0.14814814814814814, 0.09401709401709402]","[0.32, 0.24, 0.22, 0.14, 0.08]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:33:29
0.17,0.33,0.33,0.11,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,6,50,5,401,9707,4330,3.97,0.0034670959017634,7.241937899227877e-08,0.0042955181798389,34.87550401687622,0.0045945644378662,"[0.33665835411471323, 0.23192019950124687, 0.19201995012468828, 0.14713216957605985, 0.09226932668329177]","[0.34, 0.24, 0.18, 0.12, 0.12]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:35:04
0.21,0.35,0.35,0.27,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,7,50,5,451,9657,4330,4.46,0.003897778736877,8.896738540059057e-08,0.0043621020546381,39.24157524108887,0.0046498775482177,"[0.3370288248337029, 0.2328159645232816, 0.19068736141906872, 0.14412416851441243, 0.09534368070953436]","[0.36, 0.28, 0.16, 0.12, 0.08]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:36:43
0.19,0.34,0.34,0.26,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,8,50,5,501,9607,4330,4.96,0.0042395943360426,7.512615141448419e-08,0.0042349261410958,43.57618379592896,0.004704475402832,"[0.3393213572854291, 0.2375249500998004, 0.17964071856287425, 0.14570858283433133, 0.09780439121756487]","[0.42, 0.28, 0.12, 0.1, 0.08]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:38:27
0.17,0.33,0.33,0.11,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,9,50,5,551,9557,4330,5.45,0.0051830239212202,8.812554235245287e-08,0.004403526838221,47.96619510650635,0.0046305656433105,"[0.3466424682395644, 0.2413793103448276, 0.1724137931034483, 0.1397459165154265, 0.0998185117967332]","[0.34, 0.24, 0.18, 0.16, 0.08]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:40:15
0.17,0.33,0.33,0.11,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,10,50,5,601,9507,4330,5.95,0.0048332705258572,7.362481651112056e-08,0.0042333044740079,52.254016160964966,0.0046141147613525,"[0.33777038269550747, 0.24958402662229617, 0.17304492512479203, 0.14143094841930118, 0.09816971713810316]","[0.4, 0.22, 0.16, 0.12, 0.1]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:42:08
0.17,0.33,0.33,0.11,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,11,50,5,651,9457,4330,6.44,0.0058085794754237,7.47708725872555e-08,0.0042092635685414,56.623075008392334,0.0046312808990478,"[0.3425499231950845, 0.24270353302611367, 0.17665130568356374, 0.1382488479262673, 0.09984639016897082]","[0.32, 0.22, 0.2, 0.2, 0.06]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:44:05
0.17,0.33,0.33,0.11,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,12,50,5,701,9407,4330,6.94,0.0064919971980623,8.840351541259756e-08,0.0043901809556241,60.97739243507385,0.004688024520874,"[0.340941512125535, 0.2396576319543509, 0.1783166904422254, 0.14407988587731813, 0.09700427960057062]","[0.36, 0.28, 0.18, 0.1, 0.08]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:46:06
0.17,0.33,0.33,0.11,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,13,50,5,751,9357,4330,7.43,0.0067586924026409,8.806714621825678e-08,0.0043945773902686,65.36787867546082,0.0046041011810302,"[0.3422103861517976, 0.2303595206391478, 0.18508655126498003, 0.14647137150466044, 0.09587217043941411]","[0.3, 0.26, 0.16, 0.16, 0.12]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:48:12
0.29,0.41,0.41,0.27,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,14,50,5,801,9307,4330,7.92,0.0070793203524044,1.4793591107987465e-07,0.004251243365409,69.7671251296997,0.0090374946594238,"[0.33957553058676654, 0.23220973782771537, 0.18352059925093633, 0.14731585518102372, 0.09737827715355805]","[0.36, 0.2, 0.18, 0.14, 0.12]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:50:22
0.33,0.45,0.45,0.28,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,15,50,5,851,9257,4330,8.42,0.0072597074854821,7.517244333202876e-08,0.004141637375261,74.11031913757324,0.004657506942749,"[0.3407755581668625, 0.23031727379553465, 0.18331374853113983, 0.14688601645123384, 0.09870740305522914]","[0.28, 0.2, 0.2, 0.2, 0.12]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:52:36
0.17,0.33,0.33,0.11,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,16,50,5,901,9207,4330,8.91,0.0079252923307242,7.583309897900392e-08,0.0041998628541331,78.48513507843018,0.0047011375427246,"[0.32852386237513875, 0.23307436182019978, 0.18423973362930077, 0.14983351831298558, 0.10432852386237514]","[0.32, 0.28, 0.2, 0.12, 0.08]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:54:55
0.4,0.48,0.48,0.4,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,17,50,5,951,9157,4330,9.41,0.0084870909297754,1.1866584754017935e-07,0.0042023760921516,82.8108582496643,0.0067431926727294,"[0.32597266035751843, 0.23764458464773922, 0.18506834910620398, 0.14826498422712933, 0.10304942166140904]","[0.44, 0.3, 0.14, 0.1, 0.02]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:57:18
0.33,0.45,0.45,0.28,Random_Sampling,MedicalAbstracts,14438,XLMR-Base,18,50,5,1001,9107,4330,9.9,0.0090790511702704,8.71383703866076e-08,0.0043728931449247,87.29852843284607,0.0048458576202392,"[0.33166833166833165, 0.24075924075924077, 0.18281718281718282, 0.14585414585414586, 0.0989010989010989]","[0.36, 0.24, 0.2, 0.1, 0.1]","[0.3327944572748268, 0.21916859122401847, 0.2113163972286374, 0.13325635103926098, 0.10346420323325635]",2023-03-09 22:59:46
