F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.15,0.28,0.28,0.12,Random_Sampling,PatientReviews,52751,XLMR-Base,0,50,6,369,36556,15826,1.0,0.0032951525091436,1.5065727030638838e-07,0.0159058786939196,31.66369390487671,0.0095655918121337,"[0.27371273712737126, 0.1951219512195122, 0.15447154471544716, 0.15176151761517614, 0.12466124661246612, 0.1002710027100271]","[0.24, 0.18, 0.18, 0.14, 0.14, 0.12]","[0.22393529634778214, 0.1752811828636421, 0.17047895867559712, 0.16371793251611272, 0.14337166687729053, 0.12321496271957538]",2023-03-10 16:28:19
0.22,0.36,0.36,0.16,Random_Sampling,PatientReviews,52751,XLMR-Base,1,50,6,419,36506,15826,1.13,0.0035185867309156,7.58884363470872e-08,0.0160869029733243,36.04988312721253,0.0049793720245361,"[0.26252983293556087, 0.18854415274463007, 0.15513126491646778, 0.15035799522673032, 0.12649164677804295, 0.11694510739856802]","[0.2, 0.18, 0.18, 0.16, 0.16, 0.12]","[0.22393529634778214, 0.1752811828636421, 0.17047895867559712, 0.16371793251611272, 0.14337166687729053, 0.12321496271957538]",2023-03-10 16:31:47
0.18,0.33,0.33,0.13,Random_Sampling,PatientReviews,52751,XLMR-Base,2,50,6,469,36456,15826,1.27,0.003670733537267,7.443544111329942e-08,0.0158507226163894,40.34142565727234,0.0046441555023193,"[0.255863539445629, 0.18550106609808104, 0.15565031982942432, 0.14712153518123666, 0.13219616204690832, 0.12366737739872068]","[0.26, 0.22, 0.16, 0.14, 0.12, 0.1]","[0.22393529634778214, 0.1752811828636421, 0.17047895867559712, 0.16371793251611272, 0.14337166687729053, 0.12321496271957538]",2023-03-10 16:35:18
0.23,0.37,0.37,0.17,Random_Sampling,PatientReviews,52751,XLMR-Base,3,50,6,519,36406,15826,1.41,0.004175387833133,7.58177008564548e-08,0.016006085275765,44.67581653594971,0.0049402713775634,"[0.25626204238921, 0.18882466281310212, 0.15606936416184972, 0.14258188824662812, 0.13102119460500963, 0.1252408477842004]","[0.22, 0.2, 0.2, 0.16, 0.14, 0.08]","[0.22393529634778214, 0.1752811828636421, 0.17047895867559712, 0.16371793251611272, 0.14337166687729053, 0.12321496271957538]",2023-03-10 16:38:54
0.18,0.33,0.33,0.13,Random_Sampling,PatientReviews,52751,XLMR-Base,4,50,6,569,36356,15826,1.54,0.0045075525042297,8.953444461345454e-08,0.0158595399777667,48.89431548118591,0.0047082901000976,"[0.2530755711775044, 0.18453427065026362, 0.15992970123022848, 0.13708260105448156, 0.13708260105448156, 0.1282952548330404]","[0.24, 0.2, 0.16, 0.14, 0.14, 0.12]","[0.22393529634778214, 0.1752811828636421, 0.17047895867559712, 0.16371793251611272, 0.14337166687729053, 0.12321496271957538]",2023-03-10 16:42:33
0.22,0.37,0.37,0.16,Random_Sampling,PatientReviews,52751,XLMR-Base,5,50,6,619,36306,15826,1.68,0.0048547671671489,7.461693482531298e-08,0.0160067622740444,53.271244525909424,0.0047695636749267,"[0.2520193861066236, 0.18578352180936994, 0.15993537964458804, 0.13731825525040386, 0.13570274636510501, 0.12924071082390953]","[0.24, 0.2, 0.18, 0.18, 0.1, 0.1]","[0.22393529634778214, 0.1752811828636421, 0.17047895867559712, 0.16371793251611272, 0.14337166687729053, 0.12321496271957538]",2023-03-10 16:46:18
0.23,0.38,0.38,0.24,Random_Sampling,PatientReviews,52751,XLMR-Base,6,50,6,669,36256,15826,1.81,0.0054061364791803,8.725372087323633e-08,0.0158526573189628,57.51634454727173,0.0045695304870605,"[0.25112107623318386, 0.18684603886397608, 0.16143497757847533, 0.13901345291479822, 0.13452914798206278, 0.12705530642750373]","[0.24, 0.18, 0.16, 0.14, 0.14, 0.14]","[0.22393529634778214, 0.1752811828636421, 0.17047895867559712, 0.16371793251611272, 0.14337166687729053, 0.12321496271957538]",2023-03-10 16:50:06
0.15,0.28,0.28,0.11,Random_Sampling,PatientReviews,52751,XLMR-Base,7,50,6,719,36206,15826,1.95,0.0063590481622769,9.110644240045274e-08,0.0145192885039583,61.87682676315308,0.0050795078277587,"[0.24339360222531292, 0.1905424200278164, 0.16133518776077885, 0.13908205841446453, 0.1376912378303199, 0.12795549374130738]","[0.28, 0.2, 0.2, 0.12, 0.12, 0.08]","[0.22393529634778214, 0.1752811828636421, 0.17047895867559712, 0.16371793251611272, 0.14337166687729053, 0.12321496271957538]",2023-03-10 16:53:59
0.25,0.37,0.37,0.24,Random_Sampling,PatientReviews,52751,XLMR-Base,8,50,6,769,36156,15826,2.08,0.0066482229068545,7.51321103626355e-08,0.0152585507120461,66.31457543373108,0.004972219467163,"[0.24057217165149544, 0.19635890767230169, 0.15864759427828348, 0.14174252275682706, 0.1352405721716515, 0.12743823146944083]","[0.18, 0.18, 0.18, 0.16, 0.16, 0.14]","[0.22393529634778214, 0.1752811828636421, 0.17047895867559712, 0.16371793251611272, 0.14337166687729053, 0.12321496271957538]",2023-03-10 16:57:57
0.28,0.39,0.39,0.42,Random_Sampling,PatientReviews,52751,XLMR-Base,9,50,6,819,36106,15826,2.22,0.0069945329000635,8.885584161982683e-08,0.0151122382061488,70.45633101463318,0.0049381256103515,"[0.23687423687423687, 0.19536019536019536, 0.15873015873015872, 0.14407814407814407, 0.13675213675213677, 0.1282051282051282]","[0.22, 0.2, 0.18, 0.16, 0.14, 0.1]","[0.22393529634778214, 0.1752811828636421, 0.17047895867559712, 0.16371793251611272, 0.14337166687729053, 0.12321496271957538]",2023-03-10 17:01:59
