F1,Accuracy,Recall,Precision,Query,Data,Dataset_size,Model,Round,Sample_size,Num_Labels,Trainset_absolute,Query_absolute,Test_absolute,Percent,Train_energy,Query_energy,Test_energy,Train_duration,Query_duration,Train_distribution,Query_distribution,Test_distribution,Datetime
0.83,0.83,0.83,0.83,Random_Sampling,imdb,50000,XLMR-Base,0,50,2,350,34650,15000,1.0,0.0032825107875216,7.413110441740093e-08,0.015392505646208,30.386394023895264,0.004751443862915,"[0.5085714285714286, 0.49142857142857144]","[0.54, 0.46]","[0.5, 0.5]",2023-03-09 23:51:16
0.81,0.81,0.81,0.82,Random_Sampling,imdb,50000,XLMR-Base,1,50,2,400,34600,15000,1.14,0.003576663723161,7.471676040929644e-08,0.0152566723392992,34.87554144859314,0.0046725273132324,"[0.5025, 0.4975]","[0.56, 0.44]","[0.5, 0.5]",2023-03-09 23:54:39
0.6,0.65,0.65,0.78,Random_Sampling,imdb,50000,XLMR-Base,2,50,2,450,34550,15000,1.29,0.0040099192245202,1.4564679452757937e-07,0.0152576004524084,39.31907796859741,0.0089783668518066,"[0.5088888888888888, 0.4911111111111111]","[0.56, 0.44]","[0.5, 0.5]",2023-03-09 23:58:07
0.87,0.87,0.87,0.88,Random_Sampling,imdb,50000,XLMR-Base,3,50,2,500,34500,15000,1.43,0.0043303316259404,7.48658786573462e-08,0.014630721474324,43.56840991973877,0.0049135684967041,"[0.502, 0.498]","[0.52, 0.48]","[0.5, 0.5]",2023-03-10 00:01:38
0.34,0.5,0.5,0.75,Random_Sampling,imdb,50000,XLMR-Base,4,50,2,550,34450,15000,1.57,0.0048082373679311,8.934062607770312e-08,0.0145157273007173,48.00594663619995,0.0046555995941162,"[0.5036363636363637, 0.49636363636363634]","[0.56, 0.44]","[0.5, 0.5]",2023-03-10 00:05:14
0.88,0.88,0.88,0.88,Random_Sampling,imdb,50000,XLMR-Base,5,50,2,600,34400,15000,1.71,0.0053003949909338,7.446845192840606e-08,0.0154225927769575,52.3720486164093,0.0046799182891845,"[0.5016666666666667, 0.49833333333333335]","[0.6, 0.4]","[0.5, 0.5]",2023-03-10 00:08:55
0.85,0.85,0.85,0.85,Random_Sampling,imdb,50000,XLMR-Base,6,50,2,650,34350,15000,1.86,0.005475871033937,7.435177431086955e-08,0.0143302475582889,56.75964403152466,0.0047018527984619,"[0.5061538461538462, 0.4938461538461538]","[0.6, 0.4]","[0.5, 0.5]",2023-03-10 00:12:40
0.85,0.85,0.85,0.85,Random_Sampling,imdb,50000,XLMR-Base,7,50,2,700,34300,15000,2.0,0.0064172523771506,8.83953828381978e-08,0.0146994015929425,61.0374870300293,0.0047135353088378,"[0.5128571428571429, 0.48714285714285716]","[0.52, 0.48]","[0.5, 0.5]",2023-03-10 00:16:29
0.33,0.5,0.5,0.25,Random_Sampling,imdb,50000,XLMR-Base,8,50,2,750,34250,15000,2.14,0.0068542530615623,9.067717878672696e-08,0.015205409104444,65.40327429771423,0.0047674179077148,"[0.5133333333333333, 0.4866666666666667]","[0.5, 0.5]","[0.5, 0.5]",2023-03-10 00:20:22
0.89,0.89,0.89,0.9,Random_Sampling,imdb,50000,XLMR-Base,9,50,2,800,34200,15000,2.29,0.0070210252862289,1.1852246498813037e-07,0.0155814098783701,69.70986199378967,0.0072338581085205,"[0.5125, 0.4875]","[0.54, 0.46]","[0.5, 0.5]",2023-03-10 00:24:20
0.88,0.88,0.88,0.89,Random_Sampling,imdb,50000,XLMR-Base,10,50,2,850,34150,15000,2.43,0.0074535254029367,8.89226952443698e-08,0.0148716266872359,74.13999629020691,0.0047860145568847,"[0.5094117647058823, 0.49058823529411766]","[0.62, 0.38]","[0.5, 0.5]",2023-03-10 00:28:22
0.9,0.9,0.9,0.9,Random_Sampling,imdb,50000,XLMR-Base,11,50,2,900,34100,15000,2.57,0.0082046198349569,7.393361710832718e-08,0.0153286573189914,78.5602355003357,0.0046656131744384,"[0.5155555555555555, 0.48444444444444446]","[0.6, 0.4]","[0.5, 0.5]",2023-03-10 00:32:29
0.9,0.9,0.9,0.9,Random_Sampling,imdb,50000,XLMR-Base,12,50,2,950,34050,15000,2.71,0.0085701984741814,1.1705161223451168e-07,0.0156532701641099,82.89146161079407,0.0072753429412841,"[0.52, 0.48]","[0.52, 0.48]","[0.5, 0.5]",2023-03-10 00:36:40
0.89,0.89,0.89,0.89,Random_Sampling,imdb,50000,XLMR-Base,13,50,2,1000,34000,15000,2.86,0.0087700334907866,7.383448478661069e-08,0.0155954916946094,87.29959392547607,0.0046756267547607,"[0.52, 0.48]","[0.56, 0.44]","[0.5, 0.5]",2023-03-10 00:40:55
0.33,0.5,0.5,0.25,Random_Sampling,imdb,50000,XLMR-Base,14,50,2,1050,33950,15000,3.0,0.0098645288135588,1.1657606964946959e-07,0.0148704507459145,91.55658340454102,0.0072207450866699,"[0.5161904761904762, 0.4838095238095238]","[0.7, 0.3]","[0.5, 0.5]",2023-03-10 00:45:15
0.86,0.86,0.86,0.86,Random_Sampling,imdb,50000,XLMR-Base,15,50,2,1100,33900,15000,3.14,0.0101256163403845,7.467768697180601e-08,0.0154952195872982,95.97798371315002,0.0049414634704589,"[0.5245454545454545, 0.47545454545454546]","[0.56, 0.44]","[0.5, 0.5]",2023-03-10 00:49:39
0.91,0.91,0.91,0.91,Random_Sampling,imdb,50000,XLMR-Base,16,50,2,1150,33850,15000,3.29,0.0102369796271744,8.8921552421726e-08,0.0154133858760963,100.33433318138124,0.0046558380126953,"[0.5260869565217391, 0.47391304347826085]","[0.5, 0.5]","[0.5, 0.5]",2023-03-10 00:54:07
0.89,0.89,0.89,0.89,Random_Sampling,imdb,50000,XLMR-Base,17,50,2,1200,33800,15000,3.43,0.0102314300075827,7.594930266048958e-08,0.0148001958243127,104.74672770500185,0.0047135353088378,"[0.525, 0.475]","[0.5, 0.5]","[0.5, 0.5]",2023-03-10 00:58:40
0.91,0.91,0.91,0.91,Random_Sampling,imdb,50000,XLMR-Base,18,50,2,1250,33750,15000,3.57,0.011238274001293,8.960829105628179e-08,0.0148622469938111,109.15225291252136,0.0047333240509033,"[0.524, 0.476]","[0.52, 0.48]","[0.5, 0.5]",2023-03-10 01:03:18
0.9,0.9,0.9,0.9,Random_Sampling,imdb,50000,XLMR-Base,19,50,2,1300,33700,15000,3.71,0.0112946124974527,1.641688134895849e-07,0.0152669951267332,113.41946864128111,0.0101592540740966,"[0.5238461538461539, 0.47615384615384615]","[0.5, 0.5]","[0.5, 0.5]",2023-03-10 01:07:59
0.91,0.91,0.91,0.91,Random_Sampling,imdb,50000,XLMR-Base,20,50,2,1350,33650,15000,3.86,0.0116439890422612,1.4836599801772134e-07,0.0149510481533142,117.83572053909302,0.0091781616210937,"[0.522962962962963, 0.47703703703703704]","[0.54, 0.46]","[0.5, 0.5]",2023-03-10 01:12:45
0.9,0.9,0.9,0.9,Random_Sampling,imdb,50000,XLMR-Base,21,50,2,1400,33600,15000,4.0,0.0129706322602502,7.541468187975503e-08,0.0151692303125089,122.25064277648926,0.0049681663513183,"[0.5207142857142857, 0.47928571428571426]","[0.64, 0.36]","[0.5, 0.5]",2023-03-10 01:17:36
0.9,0.9,0.9,0.9,Random_Sampling,imdb,50000,XLMR-Base,22,50,2,1450,33550,15000,4.14,0.0133501236565478,8.926200590187387e-08,0.0155084341963213,126.65304255485536,0.0047612190246582,"[0.5151724137931034, 0.48482758620689653]","[0.52, 0.48]","[0.5, 0.5]",2023-03-10 01:22:31
0.91,0.91,0.91,0.91,Random_Sampling,imdb,50000,XLMR-Base,23,50,2,1500,33500,15000,4.29,0.0131306854444964,1.4880835568992266e-07,0.0155432030635719,130.9604458808899,0.0090076923370361,"[0.5153333333333333, 0.4846666666666667]","[0.52, 0.48]","[0.5, 0.5]",2023-03-10 01:27:30
0.91,0.91,0.91,0.91,Random_Sampling,imdb,50000,XLMR-Base,24,50,2,1550,33450,15000,4.43,0.0135564250015804,1.761519987934312e-07,0.0153244572726396,135.42092633247375,0.0112478733062744,"[0.5141935483870967, 0.4858064516129032]","[0.6, 0.4]","[0.5, 0.5]",2023-03-10 01:32:34
0.91,0.91,0.91,0.91,Random_Sampling,imdb,50000,XLMR-Base,25,50,2,1600,33400,15000,4.57,0.0143265656290828,8.866022044879333e-08,0.0152915735488049,139.63350009918213,0.0047473907470703,"[0.510625, 0.489375]","[0.56, 0.44]","[0.5, 0.5]",2023-03-10 01:37:42
